"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"8966",6.44896717500491,4.29733088397563,15.4001088762283,28.3426115705669,32.2458640616692,29.6350343340979,4.86213229200351,5.50858915428485,1.76512462694378,3.35828844738174,6.36904058207885,35.8103843676135,35.7308864801605,17.6674339190693
"8967",5.05651249794778,3.57549387916333,10.3873705430024,19.4398874843881,22.1511417828851,20.0275195053098,3.36023850788484,4.39336121645881,1.57229921960509,2.83189374352959,4.45860335726764,23.4996818858209,23.2255476976258,11.484236523484
"8968",3.97935831058272,2.78851960935337,6.68704267435931,11.4115445148644,13.9776718594414,11.5958022937978,2.12644596677764,3.3548388608595,1.2194901468769,2.20130693226244,3.126216422487,14.9383146398868,14.408181808773,7.0195341507981
"8969",2.92215741830484,2.07850152263998,4.00244343951935,5.38155376677726,8.21745819647708,5.71537751560409,1.27848091124734,2.39729810746849,0.860268458041492,1.59946611558721,2.04722271740319,8.43266168810555,8.57819750899826,3.98857386313168
"8970",2.16726922988945,1.66122001321955,2.48666356369181,2.53474013592383,5.34707904146473,3.04627124172061,0.744258643882121,1.5282517456884,0.796541924269094,1.1902854120212,1.29382702486605,4.95668274853323,5.49271021471087,2.23141431705687
"8971",1.88141837019947,1.42706338798618,1.52889874775805,1.38559756920254,3.71272633388194,1.97753016710733,0.395681397173547,0.76335359828357,0.51818261400487,0.931198033702516,0.851738053811325,2.87721413575557,3.72052308553758,1.24944967811595
"8972",2.17888066333076,1.38413678112833,1.05849779627908,0.859629576771772,2.72311863863689,1.92997028242593,0.224484544664882,0.382149428106694,0.640775882508575,0.833166198808132,0.538377328544353,1.92192974628756,2.72968167162506,0.568103856804935
"8973",2.46123987175174,1.45073234626192,0.890220238891552,0.605240553925062,2.11990853580813,2.27888008333206,0.259964738688507,0.21968222166231,0.375720100639428,0.862824873180748,0.354174983926747,1.75449529725691,2.51824541087563,0.254283038984402
"8974",2.22516454790709,1.37607590366418,0.916540230844986,0.483079638387027,2.07267707107824,2.20144549970148,0.282743290751646,0.227096540665599,0.398379237575723,0.74895311923598,0.222554067135915,1.99560794172124,2.4228792167521,0.176265177366705
"8975",2.00452222980252,1.08513116025159,0.678240105057281,0.4585448042222,1.83571162215354,1.22892322251566,0,0,0.531311290078425,0.747312251414749,0.44485385836849,0.529560780600975,1.25256530073627,0.0641568805444393
