"","x","y","rowSums(pls.transp[3:31], na.rm = TRUE)"
"60",125000,1414000,38092355.6106727
"61",133000,1414000,61848614.0526397
"62",141000,1414000,62724909.0342719
"63",149000,1414000,86156289.4965963
"64",157000,1414000,182058274.485259
"65",37000,1406000,6384855.81942889
"66",45000,1406000,27932235.7505919
"67",53000,1406000,39923276.534272
"68",69000,1406000,154477175.976854
"69",77000,1406000,147421882.499054
"70",85000,1406000,230378055.611932
"71",93000,1406000,169825164.838907
"72",101000,1406000,98415358.6183433
"73",109000,1406000,118723248.774949
"74",117000,1406000,60820619.5171112
"75",125000,1406000,171087448.536145
"76",133000,1406000,153288835.208095
"77",141000,1406000,83417826.6806739
"78",149000,1406000,89404030.9866725
"79",157000,1406000,155977241.179546
"80",165000,1406000,392668471.018905
"81",173000,1406000,152714885.770107
"82",189000,1406000,87138471.558579
"83",21000,1398000,60308079.5570984
"84",29000,1398000,19252528.0131838
"85",37000,1398000,87737817.3759181
"86",45000,1398000,48752254.9699273
"87",53000,1398000,45728486.8690775
"88",61000,1398000,42812705.8019632
"89",85000,1398000,150194010.175698
"90",93000,1398000,113091445.47446
"91",101000,1398000,93907051.425195
"92",109000,1398000,61504449.4701648
"93",117000,1398000,103822103.336115
"94",125000,1398000,126119515.022848
"95",133000,1398000,123461991.277254
"96",141000,1398000,142474358.758744
"97",149000,1398000,101026148.122607
"98",157000,1398000,144400318.639097
"99",165000,1398000,246333838.109766
"100",173000,1398000,102438970.902548
"101",181000,1398000,82605553.4349286
"102",189000,1398000,69105218.2222372
"103",197000,1398000,192052295.349619
"104",205000,1398000,181619551.101287
"105",213000,1398000,1269164536.86829
"106",37000,1390000,33600048.4426362
"107",45000,1390000,77373815.5960314
"108",53000,1390000,44921067.5532423
"109",69000,1390000,11852581.1109305
"110",77000,1390000,38371568.1895146
"111",85000,1390000,106823878.860152
"112",93000,1390000,75986972.7061602
"113",101000,1390000,57007165.6566668
"114",109000,1390000,120513518.090031
"115",117000,1390000,93928291.7094416
"116",125000,1390000,64330772.4407604
"117",133000,1390000,84211387.528435
"118",141000,1390000,121577937.337722
"119",149000,1390000,72320740.5110945
"120",157000,1390000,87344196.2923138
"121",165000,1390000,131080857.160856
"122",189000,1390000,72944235.1600011
"123",197000,1390000,220307961.319776
"124",205000,1390000,249754608.198956
"125",213000,1390000,131417915.562316
"126",13000,1382000,0
"127",29000,1382000,4891329.10484013
"128",69000,1382000,21855033.9366828
"129",77000,1382000,21278521.5289049
"130",93000,1382000,18519094.6978567
"131",101000,1382000,36817643.4433953
"132",109000,1382000,52369884.6066056
"133",117000,1382000,88151486.1917942
"134",133000,1382000,66935620.167407
"135",141000,1382000,81236497.8087522
"136",149000,1382000,43393903.9812366
"137",157000,1382000,227312387.561547
"138",165000,1382000,170300306.768992
"139",173000,1382000,232324245.473479
"140",181000,1382000,299392152.598578
"141",189000,1382000,110161601.796467
"142",197000,1382000,123902854.303589
"143",221000,1382000,219778720.556657
"144",229000,1382000,603893984.719627
"145",245000,1382000,842939735.861327
"146",253000,1382000,650523467.983302
"147",277000,1382000,184001172.607135
"148",285000,1382000,208705598.596237
"149",-19000,1374000,1601451.95688149
"150",5000,1374000,862375.906736126
"151",21000,1374000,0
"152",29000,1374000,12621311.8556722
"153",37000,1374000,48799258.7508234
"154",53000,1374000,41340854.566724
"155",69000,1374000,15941068.0875622
"156",85000,1374000,81067349.8302903
"157",101000,1374000,25598490.8057174
"158",109000,1374000,10749919.8751242
"159",117000,1374000,151475213.127757
"160",125000,1374000,74909356.8007673
"161",133000,1374000,62564425.8291183
"162",141000,1374000,33457823.731848
"163",149000,1374000,37663647.4143396
"164",173000,1374000,81974733.2842647
"165",181000,1374000,191623245.435603
"166",189000,1374000,83216350.0034983
"167",197000,1374000,412494998.052987
"168",205000,1374000,320774212.503435
