"","x","y","tdiff"
"120",157000,1390000,917412794.67703
"121",165000,1390000,1629061363.10381
"122",189000,1390000,-49638124.2523347
"123",197000,1390000,43292377.2680394
"124",205000,1390000,243072452.454565
"125",213000,1390000,-105475496.95797
"126",13000,1382000,280995204.036737
"127",29000,1382000,488961733.669308
"128",69000,1382000,34774418.3041825
"129",77000,1382000,20409087.5394532
"130",93000,1382000,180820698.586046
"131",101000,1382000,431343517.799073
"132",109000,1382000,499756813.373396
"133",117000,1382000,240815032.658591
"134",133000,1382000,40158238.5005915
"135",141000,1382000,-26489481.1867825
"136",149000,1382000,495252834.863662
"137",157000,1382000,71207838.5491309
"138",165000,1382000,536948456.153699
"139",173000,1382000,-228702236.948212
"140",181000,1382000,788833894.129661
"141",189000,1382000,-92975172.9558043
"142",197000,1382000,530276464.477194
"143",221000,1382000,-29430370.34258
"144",229000,1382000,-556392563.605688
"145",245000,1382000,-429242101.257936
"146",253000,1382000,-565289889.963867
"147",277000,1382000,-124404113.708748
"148",285000,1382000,45804461.8891534
"149",-19000,1374000,103852975.524662
"150",5000,1374000,276409630.398062
"151",21000,1374000,44882537.9617851
"152",29000,1374000,34302586.3044643
"153",37000,1374000,416261539.76566
"154",53000,1374000,160567807.251452
"155",69000,1374000,70443810.8251222
"156",85000,1374000,186460653.862128
"157",101000,1374000,147896570.267859
"158",109000,1374000,20405663.5650597
"159",117000,1374000,422624338.328016
"160",125000,1374000,-17888598.6185282
"161",133000,1374000,-4991684.84836462
"162",141000,1374000,1088410771.95337
"163",149000,1374000,48179460.5457065
"164",173000,1374000,-71372674.762788
"165",181000,1374000,-32377461.5064392
"166",189000,1374000,-31101654.4067462
"167",197000,1374000,157593221.548297
"168",205000,1374000,64440876.4371498
"169",213000,1374000,-116343722.406918
"170",221000,1374000,-249469588.096231
"171",237000,1374000,-23778453.4534868
"172",245000,1374000,-160491759.747842
"173",253000,1374000,-148331256.541383
"174",261000,1374000,157679408.398569
"175",269000,1374000,-2440998.30032438
"176",277000,1374000,731774209.950651
"177",285000,1374000,-41338442.7135114
