Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
SYV,190,100,NaN,0,0.026506,0,0,0,0,0,0.0031076,0.0021508,0,0.0062736,0.017895,0,0.0024559,0,NaN,0.00052415,0.0028117,0.017361,0,0.019914
SYV,190,130,NaN,0,0.016952,0,0,0,0,0,0.0016457,0.0013529,0,0.0044895,0.017232,0,0.0032956,0,NaN,0.00012249,0,0.01211,0,0.01321
SYV,190,200,NaN,0,0.0075616,0,0.0023202,0,0.0026191,0,0.00018774,0.00041352,0,0.0028822,0.015445,0,0.0016098,0,NaN,0,0,0.010191,0,0.0089109
SYV,190,230,NaN,0,0.0092847,0.00039648,0.0052926,0,0.0073698,0.00066763,0,0.00033081,0,0.00059656,0.013022,0.00037046,0.0019892,0,NaN,0.00046296,0,0.0084217,0,0.0042643
SYV,190,300,NaN,0,0.00795,0.00026136,0.0089286,0.00094587,0.011982,0.0059529,0,0.00039076,0.00091812,0.0036123,0.011405,0.0040952,0,0.00047404,NaN,0,0,0.0058068,0.00069376,0.0040521
SYV,190,330,NaN,0,0.0061481,0.00084789,0.010642,0.0024085,0.012765,0.0079391,0.00025249,0.0007362,0.0015918,0.0030342,0.0097909,0.0038252,0,0.0012722,NaN,0,0.0011636,0.0037698,0.001352,0.0015447
SYV,190,400,NaN,10.43,0.0048181,0,0.012795,0.00086993,0.0067892,0.0058447,0.00071786,0.00079623,0.0013367,0.0034853,0.0084979,0,0,0.0012265,NaN,0,0.003196,0.0010379,0,0
SYV,190,430,NaN,58.68,0,0,0.010615,0,0.0032213,0.0030217,0,0,0,0,0.0065742,0,0,0,NaN,0,0,0,0,0
SYV,190,500,NaN,161.08,0,0.0014024,0.011684,0.00081179,0.0074311,0.0057365,0,0,0.0010328,0,0.0054444,0.0020426,0,0.0006622,NaN,0,0,0.00025018,0,0
SYV,190,530,NaN,305.87,0,0.0023738,0.014277,0.0031291,0.010578,0.0061145,0,0.00030512,0.0012932,0,0.004001,0.0024451,0,0.0011565,NaN,0,0,7.97E-05,0,0
SYV,190,600,NaN,479.99,0,0.0037832,0.014699,0.002942,0.0084377,0.0051349,0,0.00038641,0.00093475,0,0.0028747,0.00097143,0,0.00097545,NaN,0,0,0.00047013,0,0
SYV,190,630,NaN,660.82,0.00063895,0.003886,0.017307,0.0056069,0.0097622,0.004157,0,0,0,0,0.00065251,0.0018418,0,0.002825,NaN,0.00041062,0.0038248,0.0436,0,0
SYV,190,700,NaN,847.58,0.0075247,0.0069066,0.019489,0.017851,0.024626,0.0072507,0.012721,0,0,0,0,0.0041232,0,0.0084412,NaN,0.004001,0.013903,0.13899,0.0074674,0.0021468
SYV,190,730,NaN,1032.8,0.034973,0.012602,0.024117,0.054822,0.071644,0.014996,0.067457,0,0.0056052,0.0035793,0,0.010447,0.0017801,0.037913,NaN,0.013289,0.050022,0.217,0.023885,0.022883
SYV,190,800,NaN,1208.7,0.08268,0.023931,0.030807,0.12409,0.1526,0.034359,0.13129,0,0.022223,0.015271,0,0.024134,0.0075115,0.10054,NaN,0.02825,0.10848,0.26502,0.039548,0.059005
SYV,190,830,NaN,1368.4,0.12113,0.041902,0.03237,0.2104,0.20928,0.058706,0.17708,0.0039467,0.056356,0.03708,0.0087368,0.037432,0.018261,0.153,NaN,0.050468,0.15905,0.28961,0.056928,0.10399
SYV,190,900,NaN,1590.7,0.15402,0.060842,0.033712,0.28091,0.25356,0.07484,0.21048,0.018324,0.091562,0.069749,0.027202,0.090333,0.034109,0.1752,NaN,0.090309,0.18253,0.29961,0.078454,0.15169
SYV,190,930,NaN,1140.4,0.20318,0.077459,0.04007,0.33328,0.29697,0.083103,0.23423,0.045138,0.11558,0.10918,0.048263,0.18536,0.050207,0.20461,NaN,0.16257,0.19751,0.31362,0.1031,0.1993
SYV,190,1000,NaN,907.74,0.22283,0.099297,0.046045,0.363,0.31876,0.10297,0.25033,0.081355,0.13449,0.15369,0.065998,0.26477,0.068379,0.23271,NaN,0.2507,0.22264,0.32449,0.12398,0.2546
SYV,190,1030,NaN,768.02,0.24964,0.13435,0.054907,0.39701,0.33489,0.1147,0.26048,0.11042,0.14446,0.18683,0.074373,0.26304,0.092895,0.24362,NaN,0.27358,0.2623,0.33553,0.13,0.29739
SYV,190,1100,NaN,916.32,0.27538,0.16247,0.063922,0.37561,0.32671,0.12068,0.23593,0.12136,0.13517,0.19887,0.074866,0.2684,0.11259,0.23022,NaN,0.24963,0.27797,0.32601,0.13265,0.32027
SYV,190,1130,NaN,1352.9,0.28627,0.16516,0.067755,0.35884,0.32238,0.11948,0.22329,0.11399,0.1233,0.19237,0.067913,0.23147,0.11596,0.21835,NaN,0.23298,0.24048,0.32566,0.12571,0.3164
SYV,190,1200,NaN,1748.8,0.29073,0.16335,0.067983,0.3589,0.3259,0.11477,0.21899,0.1027,0.11531,0.1821,0.056249,0.20944,0.11308,0.21289,NaN,0.2285,0.22319,0.32901,0.11816,0.31256
SYV,190,1230,NaN,1954.3,0.29483,0.16821,0.06821,0.38022,0.34155,0.12739,0.23222,0.097105,0.12553,0.18798,0.05139,0.21746,0.12855,0.22675,NaN,0.24371,0.23424,0.33587,0.11693,0.32388
SYV,190,1300,NaN,1797,0.32251,0.18515,0.074758,0.41647,0.35989,0.13587,0.26038,0.10256,0.14438,0.20402,0.052686,0.23188,0.14625,0.24537,NaN,0.28091,0.24806,0.35322,0.11839,0.34529
SYV,190,1330,NaN,1677.9,0.35056,0.20384,0.089117,0.43623,0.37467,0.14881,0.27381,0.11194,0.16262,0.22797,0.057486,0.28229,0.15346,0.25678,NaN,0.30049,0.26989,0.35567,0.12325,0.3667
SYV,190,1400,NaN,1441.5,0.36236,0.20989,0.10361,0.43664,0.38461,0.16388,0.27202,0.12203,0.16423,0.23696,0.067063,0.32096,0.17103,0.25389,NaN,0.30323,0.27182,0.35582,0.12474,0.37322
SYV,190,1430,NaN,1181,0.35446,0.20773,0.10929,0.43914,0.38057,0.15683,0.26904,0.12992,0.16146,0.23421,0.069241,0.31303,0.1914,0.25022,NaN,0.29329,0.26385,0.35855,0.12372,0.37189
SYV,190,1500,NaN,1023.7,0.39423,0.20432,0.10954,0.45423,0.38887,0.15295,0.26844,0.12985,0.16036,0.22345,0.065917,0.30323,0.20217,0.24499,NaN,0.28242,0.26025,0.35741,0.12111,0.36842
SYV,190,1530,NaN,877.17,0.37269,0.19885,0.11266,0.44345,0.37697,0.15853,0.26217,0.12942,0.15637,0.21566,0.069252,0.32579,0.19949,0.24267,NaN,0.27359,0.2619,0.3514,0.11377,0.36745
SYV,190,1600,NaN,695.47,0.35521,0.1879,0.10536,0.43214,0.36527,0.14751,0.24621,0.12427,0.14506,0.20049,0.065517,0.28103,0.18739,0.22978,NaN,0.25863,0.25263,0.34317,0.099457,0.35383
SYV,190,1630,NaN,606.83,0.33983,0.17734,0.097635,0.42167,0.35213,0.137,0.23493,0.11454,0.13555,0.18568,0.060255,0.24711,0.17491,0.2169,NaN,0.25037,0.24255,0.33654,0.088253,0.34117
SYV,190,1700,NaN,474.46,0.32725,0.16796,0.089518,0.40407,0.32811,0.14179,0.22563,0.1048,0.12739,0.17596,0.056514,0.23723,0.16207,0.21243,NaN,0.22924,0.23745,0.32825,0.080207,0.32908
SYV,190,1730,NaN,345.4,0.30057,0.15236,0.075609,0.37574,0.30432,0.12192,0.19811,0.09523,0.11202,0.15873,0.050693,0.17191,0.13873,0.19359,NaN,0.2017,0.21194,0.31039,0.069753,0.30902
SYV,190,1800,NaN,287.27,0.28485,0.14035,0.064924,0.34821,0.2858,0.11795,0.18621,0.081628,0.10062,0.14288,0.04358,0.128,0.12088,0.18333,NaN,0.17784,0.19923,0.29558,0.063579,0.29336
SYV,190,1830,NaN,247.57,0.26168,0.12529,0.054684,0.29768,0.24938,0.094611,0.15544,0.070154,0.085788,0.12635,0.040955,0.093073,0.096941,0.16285,NaN,0.14283,0.17419,0.27245,0.054814,0.26823
SYV,190,1900,NaN,94.86,0.22939,0.10813,0.04487,0.23835,0.21261,0.067319,0.1221,0.05732,0.067107,0.10754,0.038507,0.060265,0.074528,0.13887,NaN,0.10743,0.145,0.23973,0.042386,0.24083
SYV,190,1930,NaN,17.7,0.20408,0.091311,0.033425,0.18396,0.17794,0.040818,0.091862,0.045569,0.048887,0.084853,0.032154,0.032587,0.05734,0.10955,NaN,0.077376,0.11216,0.2171,0.027118,0.20708
SYV,190,2000,NaN,0,0.18958,0.077505,0.024889,0.15071,0.15608,0.023357,0.075235,0.034533,0.036732,0.067955,0.023446,0.011275,0.044422,0.090893,NaN,0.058159,0.091433,0.20029,0.016397,0.18891
SYV,190,2030,NaN,0,0.16967,0.064534,0.018466,0.10704,0.12048,0.010453,0.050037,0.025076,0.024692,0.052326,0.017157,0,0.031571,0.069154,NaN,0.03838,0.066456,0.14842,0.010157,0.15892
SYV,190,2100,NaN,0,0.1373,0.05203,0.013208,0.064834,0.08322,0.0048666,0.031953,0.020678,0.015471,0.038438,0.013592,0,0.024044,0.044174,NaN,0.023762,0.033481,0.10733,0.0073188,0.12198
SYV,190,2130,NaN,0,0.1153,0.040754,0.006715,0.041082,0.058075,0,0.021546,0.014991,0.0070413,0.025084,0.0096602,0,0.019708,0.024937,NaN,0.015245,0.015355,0.086114,0.0041182,0.095925
SYV,190,2200,NaN,0,0.093843,0.030943,0.0075608,0.026229,0.04158,0,0.016068,0.012872,0.0038656,0.017744,0.0051866,0,0.018722,0.016274,NaN,0.0090287,0.011239,0.070162,0.0018527,0.077404
SYV,190,2230,NaN,0,0.074806,0.023732,0.006903,0.017648,0.034505,0.00045577,0.010799,0.010907,0.0038164,0.014038,0,0,0.017027,0.013818,NaN,0.0051947,0.0094543,0.057321,0.0016219,0.063565
SYV,190,2300,NaN,0,0.057716,0.017218,0.0047473,0.0088647,0.022084,0.00058535,0.0066337,0.0093868,0.0031443,0.0056236,0,0,0.014396,0.0073979,NaN,0.0031963,0.0035519,0.047692,0.0012055,0.048407
SYV,190,2330,NaN,0,0.053683,0.013896,0.0088122,0.0044342,0.018598,0,0.0038454,0.0059869,0.00045663,0.0042567,0,0,0.010841,0.00088632,NaN,0.0028473,0.0034606,0.041105,0.00023315,0.042262
SYV,191,0,0.46,0,0.043806,0.0094158,0.0098776,0,0.012382,0,0.0013693,0.0031844,0,0.0028925,0,0,0.0080084,0,NaN,0.0029918,0.0020017,0.03565,0,0.034765
SYV,191,30,0.46,0,0.036109,0.0083433,0.0079242,0,0.0087809,0,0.00113,0.0019733,0,0.0010119,0,0.0034204,0.0070441,0,NaN,0.00083815,0.0013033,0.030104,0.0012471,0.025778
