Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
1,1,1730,0,0,0.035439,0,0.00031367,0.0096406,0.011888,0.0014259,0.0035932,0,0,0.0048763,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1800,0,0,0.033363,0,0,0.0094012,0.0095513,0.0011433,0.0035935,0,0,0.0044643,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1830,0,0,0.030355,0,0,0.0057877,0.0075001,0.00087088,0.0031466,0,0,0.0035958,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1900,0,0,0.031627,0,0,0.0036503,0.0070327,0.00044175,0.0030611,0,0,0.0036572,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1930,0,0,0.031949,0,0,0.007577,0.0085445,0.00085199,0.0030676,0,0,0.0037194,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2000,0,0,0.031481,0,0,0.0070111,0.01086,0.00080858,0.0031694,0,0,0.0037852,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2030,0,0,0.036589,0,0,0.0075674,0.012914,0.001218,0.0034491,0,0,0.003963,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2100,0,0,0.036581,0,0.00051192,0.006085,0.014562,0.0013863,0.0033508,0,0,0.003895,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2130,0,0,0.03691,0,8.32E-05,0.004624,0.015561,0.0010371,0.0038178,0,6.62E-05,0.0040772,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2200,0,0,0.039176,0,0,0.0048516,0.016434,0.0012276,0.0038333,0,8.83E-06,0.0037981,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2230,0,0,0.04242,0,0,0.0023915,0.017035,0.00087933,0.0038436,0,0,0.003864,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2300,0,0,0.042272,0,0.00029066,0.0090132,0.020198,0.001755,0.0043151,0,0,0.0041671,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2330,0,0,0.043259,0.00020395,0.0010787,0.01298,0.022972,0.0023251,0.0046027,0,0,0.0048199,0,0.00021633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,0,0,0,0.039708,4.75E-05,0.0013267,0.011956,0.020735,0.0025129,0.0043406,0,0,0.004888,0,0.0017695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,30,0,0,0.031549,0,0.0011693,0.010594,0.015156,0.0022415,0.0039863,0.00074803,0.00014191,0.0043713,0.00066402,0.0012528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,100,0,0,0.025396,0.00027574,0.00060841,0.0086728,0.0091125,0.0020473,0.003268,0.0016737,0.00075132,0.0038557,0.00044462,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,130,0,0,0.021478,0.00075517,0.00030232,0.0070814,0.005743,0.0014564,0.0031738,0.0015301,0.0011123,0.0033252,0,0.00047367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
