ID,SPP,DBH,CC,BA,SWA,SWD,Multiplier
NA,acsa,12.6,I,124.69,59.1454884,1.732343747,1
NA,acsa,12.5,S,122.72,58.17793753,1.717407595,1
782,acsa,12.2,I,116.9,55.32474788,1.672808108,1
NA,acsa,12.1,I,114.99,54.39015677,1.658013491,1
113,acsa,12,I,113.1,53.46379383,1.643073327,1
NA,acsa,11.9,S,111.22,52.54565428,1.628352157,1
711,acsa,11.8,,109.36,51.63573332,1.6134839,1
758,acsa,11.4,S,102.07,48.07813762,1.554380856,1
47,acsa,11.3,I,100.29,47.20923598,1.539507788,1
NA,acsa,11.2,I,98.52,46.34852322,1.524866767,1
724,acsa,11,I,95.03,44.65164387,1.495509727,1
704,acsa,10.9,S,93.31,43.81546698,1.480791958,1
85,acsa,10.7,S,89.92,42.16761265,1.451273308,1
NA,acsa,10.5,I,86.59,40.55238889,1.42191443,1
NA,acsa,10.3,S,83.32,38.96975264,1.392722513,1
735,acsa,10.2,S,81.71,38.19064116,1.378084652,1
NA,acsa,10,I,78.54,36.65680371,1.348719854,1
798,acsa,9.9,S,76.98,35.90206649,1.333990682,1
801,acsa,9.7,I,73.9,34.41692647,1.304881771,1
2093,acsa,9.6,I,72.38,33.68651209,1.290508565,1
NA,acsa,9.6,S,72.38,33.68651209,1.290508565,1
NA,acsa,9.6,S,72.38,33.68651209,1.290508565,1
2491,acsa,9.3,S,67.93,31.54382085,1.246752973,1
NA,acsa,9.1,S,65.04,30.15575985,1.21773232,1
62,acsa,8.9,S,62.21,28.79996154,1.188902865,1
2904,acsa,8.8,S,60.82,28.13414526,1.174439662,1
740,acsa,8.5,S,56.74,26.18495128,1.131349283,1
NA,acsa,8.1,S,51.53,23.69837586,1.073577887,1
2914,acsa,7.9,S,49.02,22.50311673,1.044730094,1
744,acsa,7.9,S,49.02,22.50311673,1.044730094,1
NA,acsa,7.8,S,47.78,21.91747004,1.030800474,1
NA,acsa,7.7,S,46.57,21.33980247,1.016093141,1
36,acsa,7.6,S,45.36,20.77010682,1.002284376,1
69,acsa,7.5,S,44.18,20.20837579,0.987680066,1
793,acsa,7,S,38.48,17.51892837,0.916954905,1
702,acsa,6.4,S,32.17,14.55281941,0.831935921,1
NA,acsa,6,S,28.27,12.73291038,0.776126486,1
68,acsa,5.9,S,27.34,12.2975404,0.761811789,1
792,frpe,44.2,D,1534.38,1447.304669,16.83530986,0.44650643
778,frpe,38.9,D,1188.47,1125.327176,14.96680894,0.469104024
NA,frpe,32.5,C,829.58,789.7475977,12.68923349,0.504885791
2916,frpe,32.4,C,824.48,784.9676563,12.65356795,0.505540631
199,frpe,32.3,C,819.4,780.2020038,12.61770326,0.506200309
114,frpe,31.7,C,789.24,751.9082309,12.40281547,0.510230077
NA,frpe,31.1,C,759.64,724.1291972,12.18793975,0.514390644
111,frpe,29.9,C,702.15,670.1165337,11.75679196,0.523141255
31,frpe,29.8,C,697.46,665.7085466,11.72087904,0.523896894
791,frpe,27.6,C,598.28,572.3596165,10.92759312,0.541687385
123,frpe,27.4,C,589.65,564.2176934,10.85476513,0.543427229
721,osvi,53,S,2206.18,1157.19259,8.226977671,0.544366114
625,osvi,14.2,I,158.37,75.7515401,1.971813695,1
808,osvi,10.3,S,83.32,38.96975264,1.392722513,1
2499,osvi,10.3,S,83.32,38.96975264,1.392722513,1
822,osvi,9.7,S,73.9,34.41692647,1.304881771,1
2922,osvi,8.5,S,56.74,26.18495128,1.131349283,1
2097,osvi,7.8,S,47.78,21.91747004,1.030800474,1
796,osvi,7.7,S,46.57,21.33980247,1.016093141,1
NA,osvi,7.7,S,46.57,21.33980247,1.016093141,1
712,osvi,7.5,S,44.18,20.20837579,0.987680066,1
56,osvi,7.4,S,43.01,19.654602,0.973415991,1
703,osvi,6.9,S,37.39,17.00482676,0.902686188,1
NA,osvi,6.9,S,37.39,17.00482676,0.902686188,1
806,osvi,6.8,S,36.32,16.49863609,0.888159754,1
807,osvi,6.7,S,35.26,16.00034826,0.874006718,1
763,osvi,6.7,S,35.26,16.00034826,0.874006718,1
701,osvi,6.5,S,33.18,15.02744829,0.846223482,1
800,osvi,6.4,S,32.17,14.55281941,0.831935921,1
94,osvi,6.4,S,32.17,14.55281941,0.831935921,1
403,osvi,6.4,S,32.17,14.55281941,0.831935921,1
790,osvi,6.3,S,31.17,14.08605992,0.818049825,1
780,osvi,6.2,S,30.19,13.62716113,0.803890289,1
78,osvi,6.2,S,30.19,13.62716113,0.803890289,1
NA,osvi,6.2,S,30.19,13.62716113,0.803890289,1
33,osvi,6.1,S,29.22,13.17611427,0.790147847,1
37,osvi,6,S,28.27,12.73291038,0.776126486,1
2512,osvi,6,S,28.27,12.73291038,0.776126486,1
766,osvi,5.9,S,27.34,12.2975404,0.761811789,1
83,osvi,5.8,S,26.42,11.86999513,0.747927904,1
2902,osvi,5.8,S,26.42,11.86999513,0.747927904,1
821,osvi,5.7,S,25.52,11.45026519,0.733743998,1
2517,osvi,5.7,S,25.52,11.45026519,0.733743998,1
96,osvi,5.7,S,25.52,11.45026519,0.733743998,1
715,osvi,5.7,S,25.52,11.45026519,0.733743998,1
NA,osvi,5.7,S,25.52,11.45026519,0.733743998,1
765,osvi,5.7,S,25.52,11.45026519,0.733743998,1
805,osvi,5.6,S,24.63,11.03834109,0.720008881,1
63,osvi,5.6,S,24.63,11.03834109,0.720008881,1
823,osvi,5.6,S,24.63,11.03834109,0.720008881,1
86,osvi,5.6,S,24.63,11.03834109,0.720008881,1
64,osvi,5.5,S,23.76,10.63421316,0.705966917,1
73,osvi,5.5,S ,23.76,10.63421316,0.705966917,1
NA,osvi,5.5,S,23.76,10.63421316,0.705966917,1
733,osvi,5.5,S,23.76,10.63421316,0.705966917,1
2929,osvi,5.4,S,22.9,10.23787156,0.692393448,1
91,osvi,5.4,S,22.9,10.23787156,0.692393448,1
