"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"32",2.515971864,0,0.140942118,0.773191125,1.090715596,0.115786968,0.167190449,0,0,0.198190682,0.198190682,0,NA,NA,NA,-0.0446644187658426,0.150725124614802,2.60134100345405,1.00834458067823,0.461153809087053
"33",2.334865665,0,0.08139865,0.676796099,0.932966974,0.090639132,0.16034894,0,0,0.191342709,0.191342709,0,NA,NA,NA,-0.0446644187658426,0.108469120614518,2.59678624111026,0.932272709777831,0.452833148769531
"34",2.145253458,0,0.085605533,0.689367083,0.811051125,0.091920206,0.149239351,0,0,0.215078625,0.215078625,0,NA,NA,NA,-0.0446644187658426,0.0758116144016141,2.58938998720895,0.852627974193464,0.481673579998046
"35",1.894881701,0,0.024432754,0.557858303,0.648368853,0.070290854,0.138233456,0,0,0.202339576,0.202339576,0,NA,NA,NA,-0.0446644187658426,0.0322340373093256,2.58206276800838,0.747461789486494,0.466194941356033
"36",1.949658902,0,0.005790355,0.392626008,0.508166334,0.03734484,0.116504997,0,0,0.169662657,0.169662657,0,NA,NA,NA,-0.0446644187658426,-0.00532190535820454,2.56759695836876,0.770470411973003,0.426490704317983
"37",1.810032171,0,0,0.380658554,0.388153835,0.028453924,0.116516971,0,0,0.152192539,0.152192539,0,NA,NA,NA,-0.0446644187658426,-0.0374695626469514,2.56760493010779,0.711821582095692,0.405263559061275
"38",1.611285072,0,0,0.209503779,0.28824017,0.020353338,0.098944098,0,0,0.116608781,0.116608781,0,NA,NA,NA,-0.0446644187658426,-0.0642333604817307,2.5559057186893,0.628339825311885,0.362027354254555
"39",1.694799619,0,0,0.118788232,0.266289631,0.008825906,0.095644981,0,0,0.119064701,0.119064701,0,NA,NA,NA,-0.0446644187658426,-0.070113234752787,2.553709318176,0.663419286273294,0.365011430869198
"40",1.716065499,0,0,0.291882543,0.338417827,0.019811248,0.095895052,0,0,0.121562349,0.121562349,0,NA,NA,NA,-0.0446644187658426,-0.050792309472633,2.55387580395773,0.67235180921771,0.368046209277456
"41",1.685173763,0,0,0.265283187,0.45462517,0.018576076,0.099827389,0,0,0.124215077,0.124215077,0,NA,NA,NA,-0.0446644187658426,-0.0196639364420885,2.55649377325232,0.659376040492746,0.371269418335491
"42",2.027829685,0,0,0.29142737,0.562681691,0.030759465,0.110780363,0,0,0.131436079,0.131436079,0,NA,NA,NA,-0.0446644187658426,0.00928108206737757,2.56378576008266,0.803305277623071,0.380043329213081
"43",2.027283904,0,0.01058217,0.222829014,0.65233705,0.036072248,0.106906663,0,0,0.128665362,0.128665362,0,NA,NA,NA,-0.0446644187658426,0.0332969952368181,2.56120682860846,0.8030760277023,0.376676757091231
"44",2.049751822,0,0.001130365,0.158921957,0.707856342,0.025236095,0.125533309,0,0.000853146,0.136113939,0.136113939,0,NA,NA,NA,-0.0446644187658426,0.0481689059711314,2.5736075936724,0.812513454841372,0.385727183993601
"45",2.205741902,0,0,0.168605362,0.757054146,0.031058178,0.12616099,0,7.15e-05,0.124736397,0.124736397,0,NA,NA,NA,-0.0446644187658426,0.061347484498614,2.574025474842,0.87803554791729,0.371902850540427
"46",2.432688202,0,0,0.07058139,0.791278077,0.020596714,0.126578419,0,0,0.127405933,0.127405933,0,NA,NA,NA,-0.0446644187658426,0.0705150229969309,2.57430337989049,0.973362100681639,0.375146482234272
