TIMESTAMP,DecDOY,HH:MM,DOY,H,M,RECORD,C1,C2
7/27/16 3:30,209.1458,03:30,209,3,35,85738,0.2471822,0.2288022
7/27/16 3:35,209.1493,03:35,209,3,40,85739,0.247392,0.229255
7/27/16 3:40,209.1528,03:40,209,3,45,85740,0.2475366,0.2297915
7/27/16 3:45,209.1563,03:45,209,3,50,85741,0.2477187,0.2301448
7/27/16 3:50,209.1597,03:50,209,3,55,85742,0.2477687,0.2305592
7/27/16 3:55,209.1632,03:55,209,3,0,85743,0.2478791,0.2311168
7/27/16 4:00,209.1667,04:00,209,4,5,85744,0.2478461,0.2314095
7/27/16 4:05,209.1701,04:05,209,4,10,85745,0.247793,0.2316876
7/27/16 4:10,209.1736,04:10,209,4,15,85746,0.247755,0.2318538
7/27/16 4:15,209.1771,04:15,209,4,20,85747,0.2477994,0.2318706
7/27/16 4:20,209.1806,04:20,209,4,25,85748,0.2478113,0.2325947
7/27/16 4:25,209.1840,04:25,209,4,30,85749,0.2476348,0.2325562
7/27/16 4:30,209.1875,04:30,209,4,35,85750,0.247126,0.2322187
7/27/16 4:35,209.1910,04:35,209,4,40,85751,0.2479163,0.2330198
7/27/16 4:40,209.1944,04:40,209,4,45,85752,0.248138,0.2336446
7/27/16 4:45,209.1979,04:45,209,4,50,85753,0.2482928,0.2338271
7/27/16 4:50,209.2014,04:50,209,4,55,85754,0.2484871,0.2339163
7/27/16 4:55,209.2049,04:55,209,4,0,85755,0.2485048,0.2338733
7/27/16 5:00,209.2083,05:00,209,5,5,85756,0.2485268,0.2341105
7/27/16 5:05,209.2118,05:05,209,5,10,85757,0.2484328,0.2342154
7/27/16 5:10,209.2153,05:10,209,5,15,85758,0.2484948,0.2344595
7/27/16 5:15,209.2188,05:15,209,5,20,85759,0.2485833,0.2346473
7/27/16 5:20,209.2222,05:20,209,5,25,85760,0.2486444,0.2346587
7/27/16 5:25,209.2257,05:25,209,5,30,85761,0.2487321,0.2348073
7/27/16 5:30,209.2292,05:30,209,5,35,85762,0.2487533,0.2351322
7/27/16 5:35,209.2326,05:35,209,5,40,85763,0.2487871,0.2357677
7/27/16 5:40,209.2361,05:40,209,5,45,85764,0.2487923,0.2360877
7/27/16 5:45,209.2396,05:45,209,5,50,85765,0.2488036,0.2365296
7/27/16 5:50,209.2431,05:50,209,5,55,85766,0.248814,0.2365677
7/27/16 5:55,209.2465,05:55,209,5,0,85767,0.2487823,0.2364144
7/27/16 6:00,209.2500,06:00,209,6,5,85768,0.24877,0.237004
7/27/16 6:05,209.2535,06:05,209,6,10,85769,0.2487354,0.2371461
7/27/16 6:10,209.2569,06:10,209,6,15,85770,0.2486047,0.2372086
7/27/16 6:15,209.2604,06:15,209,6,20,85771,0.2483244,0.2370994
7/27/16 6:20,209.2639,06:20,209,6,25,85772,0.2480194,0.2368386
7/27/16 6:25,209.2674,06:25,209,6,30,85773,0.2472697,0.2370882
7/27/16 6:30,209.2708,06:30,209,6,35,85774,0.2468292,0.2371502
7/27/16 6:35,209.2743,06:35,209,6,40,85775,0.2460679,0.2375428
7/27/16 6:40,209.2778,06:40,209,6,45,85776,0.2455668,0.2373453
7/27/16 6:45,209.2813,06:45,209,6,50,85777,0.2452466,0.2373454
7/27/16 6:50,209.2847,06:50,209,6,55,85778,0.2447046,0.2379133
7/27/16 6:55,209.2882,06:55,209,6,0,85779,0.2440642,0.2384765
7/27/16 7:00,209.2917,07:00,209,7,5,85780,0.2440147,0.2389626
7/27/16 7:05,209.2951,07:05,209,7,10,85781,0.2433964,0.2392443
7/27/16 7:10,209.2986,07:10,209,7,15,85782,0.24295,0.2382955
7/27/16 7:15,209.3021,07:15,209,7,20,85783,0.2428839,0.2355348
7/27/16 7:20,209.3056,07:20,209,7,25,85784,0.2427577,0.2329791
7/27/16 7:25,209.3090,07:25,209,7,30,85785,0.2420125,0.2310469
7/27/16 7:30,209.3125,07:30,209,7,35,85786,0.2409571,0.2286387
7/27/16 7:35,209.3160,07:35,209,7,40,85787,0.2397437,0.2282148
7/27/16 7:40,209.3194,07:40,209,7,45,85788,0.2386939,0.2290975
7/27/16 7:45,209.3229,07:45,209,7,50,85789,0.2381106,0.2290001
7/27/16 7:50,209.3264,07:50,209,7,55,85790,0.2377139,0.2277365
7/27/16 7:55,209.3299,07:55,209,7,0,85791,0.2373613,0.2266219
7/27/16 8:00,209.3333,08:00,209,8,5,85792,0.2374556,0.2254296
7/27/16 8:05,209.3368,08:05,209,8,10,85793,0.2376767,0.2248611
7/27/16 8:10,209.3403,08:10,209,8,15,85794,0.2375942,0.224127
7/27/16 8:15,209.3438,08:15,209,8,20,85795,0.2372273,0.2232799
7/27/16 8:20,209.3472,08:20,209,8,25,85796,0.2367257,0.2227286
7/27/16 8:25,209.3507,08:25,209,8,30,85797,0.2363183,0.2224039
7/27/16 8:30,209.3542,08:30,209,8,35,85798,0.2359647,0.2227405
7/27/16 8:35,209.3576,08:35,209,8,40,85799,0.23533,0.2232156
7/27/16 8:40,209.3611,08:40,209,8,45,85800,0.2350555,0.2233441
7/27/16 8:45,209.3646,08:45,209,8,50,85801,0.2350281,0.2232118
7/27/16 8:50,209.3681,08:50,209,8,55,85802,0.2353474,0.222852
7/27/16 8:55,209.3715,08:55,209,8,0,85803,0.2354135,0.2232604
7/27/16 9:00,209.3750,09:00,209,9,5,85804,0.2355183,0.2231389
7/27/16 9:05,209.3785,09:05,209,9,10,85805,0.2357178,0.2230291
7/27/16 9:10,209.3819,09:10,209,9,15,85806,0.2357663,0.2229673
7/27/16 9:15,209.3854,09:15,209,9,20,85807,0.2358874,0.2231988
7/27/16 9:20,209.3889,09:20,209,9,25,85808,0.2366227,0.2233211
7/27/16 9:25,209.3924,09:25,209,9,30,85809,0.236949,0.2236198
7/27/16 9:30,209.3958,09:30,209,9,35,85810,0.2374052,0.2237283
