"","x","y","rowSums(fia.transp[3:31], na.rm = TRUE)"
"270",173000,1342000,101053384.635555
"271",181000,1342000,468238412.548019
"272",197000,1342000,10172167.4138408
"273",213000,1342000,269150489.388931
"274",221000,1342000,743735057.776325
"275",229000,1342000,540592870.039862
"276",237000,1342000,407109457.151101
"277",245000,1342000,403787789.699262
"278",253000,1342000,129836110.61968
"279",261000,1342000,285981516.57251
"280",269000,1342000,304956336.157884
"281",277000,1342000,41899768.7480384
"282",285000,1342000,63291201.955892
"283",293000,1342000,678342364.965606
"284",301000,1342000,483621458.03795
"285",309000,1342000,482733757.705941
"286",317000,1342000,120986343.16849
"287",349000,1342000,629553519.832405
"288",21000,1334000,370143463.77666
"289",37000,1334000,201390071.711675
"290",53000,1334000,370674843.848141
"291",133000,1334000,288625342.616958
"292",141000,1334000,627223327.47645
"293",149000,1334000,380013022.076472
"294",157000,1334000,123701897.000817
"295",165000,1334000,410529281.423083
"296",173000,1334000,28481661.5401005
"297",181000,1334000,44018892.7522682
"298",189000,1334000,73228128.2411435
"299",197000,1334000,64826277.4011993
"300",205000,1334000,1340078528.90022
"301",213000,1334000,69386724.1018002
"302",221000,1334000,11830804.6321001
"303",229000,1334000,215385742.709949
"304",237000,1334000,56600082.3681318
"305",245000,1334000,561001432.047903
"306",253000,1334000,442473731.367874
"307",261000,1334000,679915954.475311
"308",269000,1334000,468611807.438982
"309",277000,1334000,660434852.596551
"310",285000,1334000,632747256.302868
"311",293000,1334000,152750807.868283
"312",301000,1334000,370625243.801719
"313",309000,1334000,435339619.466015
"314",317000,1334000,756027443.581562
"315",325000,1334000,96320010.4081152
"316",333000,1334000,194138229.669202
"317",341000,1334000,716028215.846992
"318",349000,1334000,454541754.159809
"319",29000,1326000,298016365.773373
"320",53000,1326000,54399535.5493546
"321",61000,1326000,50064877.9660944
"322",85000,1326000,158886337.780031
"323",93000,1326000,286014854.299505
"324",101000,1326000,265045087.457339
"326",149000,1326000,278151605.40598
"327",157000,1326000,199929956.08518
"328",165000,1326000,421770896.838947
"329",173000,1326000,513997852.88119
"330",181000,1326000,6569601.21298623
"331",189000,1326000,701798586.505412
"332",197000,1326000,185396829.30653
"333",205000,1326000,17946888.0675865
"334",221000,1326000,383768111.082413
"335",229000,1326000,84691493.0216035
"336",237000,1326000,61639574.0397331
"337",245000,1326000,169695886.718297
"338",253000,1326000,321595567.943878
"339",261000,1326000,407805662.423107
"340",269000,1326000,629159197.835189
"341",277000,1326000,588609287.50701
"342",285000,1326000,57380113.335051
"343",293000,1326000,671833794.795167
"344",301000,1326000,67198123.4065028
