Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14
WCR,190,600,0.367,476.24,0,0,0.0026139,0.0011192,0.00023401,0,0.0032701,0.0017349,0,NaN,0.0013994,0.0095165,0.0014748,0.0017022
WCR,190,630,0.359,657.07,0,0,0.0067274,0.0011802,0.0039222,0.00057797,0.0068055,0.0023037,0,NaN,0.0012182,0.015074,0.0053476,0.0025954
WCR,190,700,0.381,842.86,0.0015633,0.011321,0.017277,0.0051705,0.013831,0.005137,0.015418,0.0040602,0.00013938,NaN,0.0028115,0.023181,0.012035,0.011026
WCR,190,730,0.446,1013.4,0.021794,0.054148,0.050672,0.013449,0.041856,0.025632,0.041217,0.0075976,0.0041593,NaN,0.005447,0.041585,0.034358,NaN
WCR,190,800,NaN,1000,0.061263,0.11566,0.19605,0.053734,0.10574,0.090001,0.11897,0.038542,0.014219,NaN,0.036266,0.081842,0.092478,NaN
WCR,190,830,0.685,1349.5,0.12431,0.19146,0.39218,0.12362,0.19252,0.17653,0.21964,0.13267,0.030057,NaN,0.12786,0.15237,0.18677,0.46439
WCR,190,900,0.818,1481.2,0.19453,0.25263,0.41845,0.18459,0.27373,0.22216,0.289,0.28549,0.048255,NaN,0.27162,0.25002,0.27228,0.44862
WCR,190,930,0.806,1432.9,0.24385,0.29304,0.43528,0.24124,0.34438,0.25524,0.32386,0.39699,0.064502,NaN,0.43928,0.36894,0.33217,0.46329
WCR,190,1000,0.834,1771,0.26869,0.3111,0.44727,0.28074,0.39357,0.27536,0.36525,0.48161,0.073755,NaN,0.55004,0.47402,0.36732,0.499
WCR,190,1030,0.909,1830.3,0.27889,0.32123,0.44398,0.29413,0.42015,0.2908,0.39152,0.46673,0.07957,NaN,0.5238,0.53511,0.38923,0.50191
WCR,190,1100,0.916,1818.6,0.28466,0.33099,0.46449,0.30175,0.43934,0.30138,0.39196,0.44644,0.082677,NaN,0.52922,0.56149,0.39874,0.46367
WCR,190,1130,0.954,1785.9,0.29694,0.33583,0.50227,0.32435,0.46078,0.32286,0.40319,0.48662,0.087958,NaN,0.56176,0.60467,0.42117,0.51688
WCR,190,1200,1.005,1583.2,0.30303,0.3357,0.50284,0.33516,0.48059,0.34494,0.41729,0.49105,0.090143,NaN,0.57628,0.5979,0.43249,0.52187
WCR,190,1230,1.072,1827.7,0.30861,0.34297,0.48773,0.34978,0.49629,0.33926,0.39473,0.54003,0.091429,NaN,0.65288,0.58345,0.43878,0.5353
WCR,190,1300,1.053,1534.1,0.30497,0.33947,0.46152,0.3484,0.48491,0.33,0.39388,0.53817,0.091242,NaN,0.65036,0.56092,0.43317,0.52199
WCR,190,1330,1.081,1199.2,0.2993,0.33931,0.43649,0.35355,0.48792,0.33241,0.38504,0.50558,0.089988,NaN,0.57277,0.53754,0.43493,0.50538
WCR,190,1400,1.076,1623.1,0.29837,0.33564,0.45419,0.35832,0.50678,0.3381,0.3954,0.49268,0.08868,NaN,0.53787,0.45618,0.44939,0.52829
WCR,190,1430,1.174,1548.8,0.28146,0.31656,0.40455,0.33076,0.42998,0.31375,0.35467,0.43206,0.089274,NaN,0.49876,0.36099,0.40909,0.46936
WCR,190,1500,1.176,1297.8,0.27688,0.30995,0.4163,0.33567,0.42782,0.30658,0.36571,0.40189,0.085962,NaN,0.50246,0.37747,0.40518,0.4725
WCR,190,1530,1.15,1130.6,0.27314,0.30217,0.4037,0.32694,0.43241,0.3134,0.31113,0.40962,0.08568,NaN,0.49887,0.35685,0.40264,0.44568
WCR,190,1600,1.219,1038.8,0.28277,0.31485,0.42535,0.3318,0.45922,0.33305,0.33415,0.41829,0.086574,NaN,0.52637,0.37673,0.4284,0.47912
WCR,190,1630,1.214,840.97,0.27692,0.3052,0.41873,0.32723,0.43598,0.3143,0.32896,0.39481,0.086117,NaN,0.49629,0.35572,0.41098,0.44149
WCR,190,1700,1.11,558.76,0.26354,0.28486,0.3865,0.3089,0.41818,0.29015,0.31725,0.3064,0.083126,NaN,0.40943,0.3356,0.3907,0.4181
WCR,190,1730,0.947,376.37,0.25803,0.27493,0.39876,0.31128,0.40949,0.2958,0.32172,0.25854,0.079677,NaN,0.38667,0.33242,0.3878,0.40152
WCR,190,1800,0.788,255.91,0.23529,0.249,0.33802,0.27698,0.37513,0.25947,0.27669,0.21965,0.076812,NaN,0.32838,0.29464,0.34953,0.35555
WCR,190,1830,0.789,229.5,0.1951,0.20509,0.27758,0.23479,0.31541,0.21765,0.23355,0.16768,0.070539,NaN,0.27035,0.2223,0.29739,0.28807
WCR,190,1900,0.634,129.77,0.15586,0.16483,0.1794,0.17676,0.24016,0.16416,0.1797,0.12473,0.060941,NaN,0.19465,0.16207,0.23323,0.2064
WCR,190,1930,0.527,26.851,0.11222,0.1238,0.1195,0.12459,0.17376,0.1157,0.12531,0.097026,0.049983,NaN,0.14506,0.10114,0.16942,0.14358
WCR,190,2000,0.477,0,0.092503,0.10003,0.083507,0.086651,0.1314,0.084771,0.089066,0.069443,0.039658,NaN,0.10775,0.069281,0.13334,0.10333
WCR,190,2030,0.46,0,0.077365,0.084232,0.05543,0.060585,0.097702,0.063573,0.061271,0.048297,0.032447,NaN,0.081017,0.046079,0.10121,0.070908
WCR,190,2100,0.459,0,0.052959,0.059619,0.02875,0.036278,0.065411,0.040597,0.037356,0.031606,0.023668,NaN,0.060707,0.020636,0.068828,0.044176
WCR,190,2130,0.477,0,0.03408,0.041983,0.009314,0.01987,0.043272,0.020719,0.023678,0.022979,0.016383,NaN,0.045076,0.00069981,0.043809,0.022342
WCR,190,2200,0.457,0,0.022317,0.030054,0,0.010683,0.030388,0.011139,0.014365,0.011175,0.01151,NaN,0.031569,0,0.028619,0.009104
WCR,190,2230,0.453,0,0.013792,0.019746,0,0.005977,0.021741,0.0074839,0.0056098,0.0016151,0.0080368,NaN,0.021822,0,0.016797,0
WCR,190,2300,0.472,0,0.0066917,0.012899,0,0.0021599,0.014958,0.0020383,0.00038869,0,0.0050612,NaN,0.011906,0,0.0099065,0
WCR,190,2330,0.406,0,0.0019078,0.0085527,0,0,0.010199,0,0,0,0.0032837,NaN,0.0057653,0,0.004049,0
WCR,191,0,0.385,0,0,0.00463,0,0,0.007688,0.0026843,0,0,0.0020031,NaN,0.0008305,0,0.0021372,0
WCR,191,30,0.358,0,0,0.0023123,0,0,0.0052415,0.0023581,0,0,0.0009625,NaN,0,0.0045999,8.75E-05,0
WCR,191,100,0.324,0,0,0.00062054,0,0,0.0033371,0.0029583,0,0,0,NaN,0,0.0089096,0,0
WCR,191,130,0.286,0,0,0,0,0,0.0014802,0.00069255,0,0,0,NaN,0,0.01262,0,0
WCR,191,200,0.288,0,0,0,0,0,0.0012164,0.0038793,0,0,0,NaN,0,0.021572,0,0
WCR,191,230,0.3,0,0,0,0,0,0.00046253,0.0031227,0,0,0,NaN,0,0.027592,0,0
WCR,191,300,0.324,0,0,0,0,0,0.00025556,0.0026093,0.0025506,0,0,NaN,0,0.029234,0,0
WCR,191,330,0.287,0,0,0,0,0,0.00064704,0.001192,0.005844,0,0,NaN,0,0.034644,0,0
WCR,191,400,0.252,0,0,0,0,0,0.0012561,0,0.0076973,0,0.00010749,NaN,0.00080392,0.038466,0,0
WCR,191,430,0.226,46.09,0,0.00018179,0,0,0.0021412,0.0018006,0.0080126,0,0.00036476,NaN,0.001618,0.055351,0.0010318,0
WCR,191,500,0.241,152.7,0,0,0.001285,0,0.0022226,0.0020863,0.010379,0,0.0013213,NaN,0.0044829,0.047928,0.00089611,0.00063848
WCR,191,530,0.245,301.92,0,0,0.0029555,0.00029292,0.0022653,0.0014673,0.012883,0,0.0030634,NaN,0.0066887,0.050605,0.0015434,0.0027266
WCR,191,600,0.252,472.94,0,0.00070356,0.0050175,0.00069249,0.0023277,0,0.015344,0,0.0042863,NaN,0.0070517,0.053741,0.0026925,0.0042923
WCR,191,630,0.352,655.3,0,0.0065565,0.010394,0.0030707,0.0054839,0,0.021057,0.00045989,0.0056779,NaN,0.0073864,0.07051,0.0082921,0.010153
WCR,191,700,0.422,833.92,0.006446,0.027715,0.041549,0.0084884,0.01392,0.0014181,0.034625,0.0064766,0.0064519,NaN,0.014124,0.084615,0.018954,0.041019
WCR,191,730,0.461,1020,0.030189,0.074146,0.1291,0.021651,0.033519,0.021056,0.062469,0.024655,0.0093903,NaN,0.033914,0.099512,0.038917,0.19437
WCR,191,800,0.565,1192.7,0.079289,0.14506,0.2714,0.063724,0.0892,0.075579,0.12291,0.072796,0.019882,NaN,0.080813,0.12854,0.093066,0.39505
WCR,191,830,0.644,1340.5,0.14797,0.21943,0.35215,0.12724,0.17177,0.14636,0.20898,0.16131,0.035142,NaN,0.17252,0.18008,0.17867,0.41282
WCR,191,900,0.782,1478.3,0.19601,0.26589,0.35744,0.17622,0.24698,0.18212,0.26989,0.26798,0.049366,NaN,0.27454,0.22981,0.25308,0.38656
WCR,191,930,0.739,1378,0.23314,0.30075,0.4184,0.22577,0.31959,0.21291,0.3129,0.33521,0.061846,NaN,0.38128,0.2935,0.31268,0.44499
WCR,191,1000,0.923,1587.6,0.25937,0.32404,0.43238,0.25687,0.37285,0.24185,0.37024,0.40942,0.070035,NaN,0.4707,0.36768,0.35602,0.47647
WCR,191,1030,0.977,1510.6,0.27491,0.33787,0.42032,0.28058,0.40409,0.2577,0.39369,0.43508,0.075741,NaN,0.4937,0.40865,0.37806,0.47931
WCR,191,1100,1.2,1939.8,0.27393,0.33626,0.43327,0.28336,0.39066,0.24676,0.37213,0.43241,0.078854,NaN,0.52044,0.39091,0.35295,0.45646
WCR,191,1130,1.266,1754.1,0.29287,0.34868,0.47939,0.30004,0.43995,0.2888,0.39786,0.43133,0.082508,NaN,0.52323,0.43345,0.39774,0.48419
WCR,191,1200,1.35,1933.5,0.29842,0.35228,0.48119,0.3297,0.46418,0.3066,0.41705,0.48254,0.082622,NaN,0.56632,0.46522,0.42428,0.51984
WCR,191,1230,1.277,1512.4,0.3066,0.35917,0.48714,0.34949,0.48523,0.31465,0.40801,0.54072,0.085909,NaN,NaN,0.47018,0.443,0.54315
WCR,191,1300,1.305,1560.9,0.30407,0.35749,0.4462,0.34843,0.46726,0.3003,0.39161,0.56765,0.083463,NaN,NaN,0.44557,0.42372,0.51506
WCR,191,1330,1.369,1618.7,0.3046,0.35702,0.44566,0.35242,0.47559,0.307,0.39396,0.51221,0.082484,NaN,NaN,0.45319,0.43696,0.50233
WCR,191,1400,1.327,1356.9,0.29742,0.34851,0.41314,0.355,0.48865,0.30733,0.38022,0.47268,0.081656,NaN,0.53279,0.44814,0.43739,0.50107
WCR,191,1430,1.453,1495.5,0.29861,0.35002,0.42398,0.35103,0.44909,0.30825,0.37936,0.46034,0.083755,NaN,0.53905,0.44103,0.43117,0.4994
WCR,191,1500,1.424,1454.8,0.28538,0.33393,0.4142,0.33839,0.42332,0.29065,0.35289,0.46154,0.084825,NaN,0.54735,0.42566,0.40474,0.47557
