TIMESTAMP,DecDOY,HH:MM,DOY,H,M,RECORD,C1,C2,C3,C4
7/28/16 20:45,210.865,20:45,210,20,45,99,0.2665251,-0.000865125,0.01630428,0.2030382
7/28/16 20:50,210.868,20:50,210,20,50,100,0.267392,-0.001064777,0.01630439,0.2041709
7/28/16 20:55,210.872,20:55,210,20,55,101,0.2685919,-0.000865137,0.0168369,0.2056365
7/28/16 21:00,210.875,21:00,210,21,0,102,0.2697904,-0.000931688,0.01703659,0.2064356
7/28/16 21:05,210.878,21:05,210,21,5,103,0.2707255,-0.001197901,0.01670406,0.2071702
7/28/16 21:10,210.882,21:10,210,21,10,104,0.2719933,-0.001397568,0.01703702,0.2083041
7/28/16 21:15,210.885,21:15,210,21,15,105,0.2728612,-0.001397582,0.01723684,0.2093045
7/28/16 21:20,210.889,21:20,210,21,20,106,0.2738611,-0.001331038,0.01723695,0.2094389
7/28/16 21:25,210.892,21:25,210,21,25,107,0.274263,-0.001397603,0.01770298,0.2106388
7/28/16 21:30,210.896,21:30,210,21,30,108,0.2753984,-0.001930052,0.01856843,0.211374
7/28/16 21:35,210.899,21:35,210,21,35,109,0.2752667,-0.00292837,0.01969994,0.2123733
7/28/16 21:40,210.903,21:40,210,21,40,110,0.276733,-0.002861837,0.01950043,0.2119756
7/28/16 21:45,210.906,21:45,210,21,45,111,0.2777992,-0.002928405,0.01950052,0.2123759
7/28/16 21:50,210.910,21:50,210,21,50,112,0.2787343,-0.003194663,0.01983353,0.2129775
7/28/16 21:55,210.913,21:55,210,21,55,113,0.2792029,-0.003860256,0.02029962,0.2140445
7/28/16 22:00,210.917,22:00,210,22,0,114,0.2790043,-0.004525833,0.02136459,0.2146443
7/28/16 22:05,210.920,22:05,210,22,5,115,0.2797383,-0.004858647,0.02236309,0.2146457
7/28/16 22:10,210.924,22:10,210,22,10,116,0.2806058,-0.004991802,0.02276262,0.2151134
7/28/16 22:15,210.927,22:15,210,22,15,117,0.2808069,-0.005923635,0.02316208,0.21578
7/28/16 22:20,210.931,22:20,210,22,20,118,0.2824064,-0.006323027,0.02336192,0.2158482
7/28/16 22:25,210.934,22:25,210,22,25,119,0.2834744,-0.005923743,0.02322906,0.2163164
7/28/16 22:30,210.938,22:30,210,22,30,120,0.2846096,-0.006123499,0.02296312,0.2163858
7/28/16 22:35,210.941,22:35,210,22,35,121,0.2852103,-0.005990416,0.0222311,0.216254
7/28/16 22:40,210.944,22:40,210,22,40,122,0.2842166,-0.006523007,0.02269739,0.2180547
7/28/16 22:45,210.948,22:45,210,22,45,123,0.2848845,-0.006789303,0.02323006,0.218123
7/28/16 22:50,210.951,22:50,210,22,50,124,0.2864839,-0.006722788,0.02336335,0.2187236
7/28/16 22:55,210.955,22:55,210,22,55,125,0.2864857,-0.007388457,0.02376287,0.2185253
7/28/16 23:00,210.958,23:00,210,23,0,126,0.2871538,-0.007188828,0.02369651,0.2183274
7/28/16 23:05,210.962,23:05,210,23,5,127,0.2879553,-0.006789513,0.0237633,0.2181963
7/28/16 23:10,210.965,23:10,210,23,10,128,0.2884236,-0.007055829,0.02383006,0.2186641
7/28/16 23:15,210.969,23:15,210,23,15,129,0.2886918,-0.007521828,0.02402991,0.2180665
7/28/16 23:20,210.972,23:20,210,23,20,130,0.2893603,-0.007322206,0.02343106,0.2176692
7/28/16 23:25,210.976,23:25,210,23,25,131,0.2896938,-0.007322223,0.02289859,0.2178029
7/28/16 23:30,210.979,23:30,210,23,30,132,0.2901608,-0.007455382,0.02263241,0.2181365
7/28/16 23:35,210.983,23:35,210,23,35,133,0.2907617,-0.007255729,0.02256598,0.2190032
7/28/16 23:40,210.986,23:40,210,23,40,134,0.2912968,-0.007255792,0.02229991,0.2190717
7/28/16 23:45,210.990,23:45,210,23,45,135,0.2917657,-0.007056163,0.02230014,0.2193402
7/28/16 23:50,210.993,23:50,210,23,50,136,0.2921669,-0.006923071,0.02223371,0.2194746
7/28/16 23:55,210.997,23:55,210,23,55,137,0.2926347,-0.006856546,0.02216728,0.2196757
7/29/16 0:00,211.000,00:00,211,0,0,138,0.2932367,-0.006457199,0.02230063,0.2198776
7/29/16 0:05,211.003,00:05,211,0,5,139,0.293639,-0.006457262,0.02230085,0.2202126
7/29/16 0:10,211.007,00:10,211,0,10,140,0.2941088,-0.006590487,0.02223457,0.2201489
7/29/16 0:15,211.010,00:15,211,0,15,141,0.2947773,-0.007056549,0.02236793,0.220151
7/29/16 0:20,211.014,00:20,211,0,20,142,0.2953122,-0.007189747,0.02230153,0.2203524
7/29/16 0:25,211.017,00:25,211,0,25,143,0.2957818,-0.006923544,0.02236838,0.2203551
7/29/16 0:30,211.021,00:30,211,0,30,144,0.2961856,-0.006923644,0.0223687,0.2204249
7/29/16 0:35,211.024,00:35,211,0,35,145,0.2965878,-0.006923711,0.02236891,0.220427
7/29/16 0:40,211.028,00:40,211,0,40,146,0.2971894,-0.006990342,0.02243567,0.2202291
7/29/16 0:45,211.031,00:45,211,0,45,147,0.2974582,-0.006524374,0.02236928,0.220364
7/29/16 0:50,211.035,00:50,211,0,50,148,0.2977265,-0.006990447,0.02283546,0.2204987
7/29/16 0:55,211.038,00:55,211,0,55,149,0.2983271,-0.006923905,0.02283557,0.2205663
7/29/16 1:00,211.042,01:00,211,1,0,150,0.2985299,-0.007323437,0.02296896,0.2207683
7/29/16 1:05,211.045,01:05,211,1,5,151,0.298798,-0.007123749,0.02303568,0.2211025
7/29/16 1:10,211.049,01:10,211,1,10,152,0.299332,-0.006191697,0.02303578,0.2216361
7/29/16 1:15,211.052,01:15,211,1,15,153,0.2995993,-0.006324874,0.02303586,0.2211043
7/29/16 1:20,211.056,01:20,211,1,20,154,0.3000001,-0.006591213,0.02303596,0.2208389
7/29/16 1:25,211.059,01:25,211,1,25,155,0.3002012,-0.006990714,0.02276975,0.2209731
7/29/16 1:30,211.063,01:30,211,1,30,156,0.3003338,-0.006524654,0.02263655,0.2209727
7/29/16 1:35,211.066,01:35,211,1,35,157,0.3002694,-0.006258386,0.02243698,0.220708
7/29/16 1:40,211.069,01:40,211,1,40,158,0.3005386,-0.00592555,0.02237062,0.2205104
7/29/16 1:45,211.073,01:45,211,1,45,159,0.300808,-0.005859032,0.02237085,0.2203795
7/29/16 1:50,211.076,01:50,211,1,50,160,0.3012764,-0.006058818,0.0224376,0.220248
7/29/16 1:55,211.080,01:55,211,1,55,161,0.3013438,-0.006924383,0.02243766,0.2198491
7/29/16 2:00,211.083,02:00,211,2,0,162,0.3013448,-0.006391759,0.02230457,0.2195835
7/29/16 2:05,211.087,02:05,211,2,5,163,0.3013456,-0.006391776,0.02230463,0.219451
7/29/16 2:10,211.090,02:10,211,2,10,164,0.3018806,-0.006791314,0.02223823,0.2192529
7/29/16 2:15,211.094,02:15,211,2,15,165,0.3018161,-0.006658197,0.02230496,0.219321
7/29/16 2:20,211.097,02:20,211,2,20,166,0.3020161,-0.006658204,0.0222384,0.2190549
7/29/16 2:25,211.101,02:25,211,2,25,167,0.3020844,-0.006924569,0.02203877,0.2187232
7/29/16 2:30,211.104,02:30,211,2,30,168,0.3025515,-0.006858012,0.02210544,0.2185908
7/29/16 2:35,211.108,02:35,211,2,35,169,0.3026207,-0.006858071,0.02190588,0.21806
7/29/16 2:40,211.111,02:40,211,2,40,170,0.3028219,-0.007523939,0.02197256,0.2175284
7/29/16 2:45,211.115,02:45,211,2,45,171,0.3028245,-0.007390835,0.02183959,0.2174637
7/29/16 2:50,211.118,02:50,211,2,50,172,0.3032259,-0.007457468,0.02177314,0.2171321
7/29/16 2:55,211.122,02:55,211,2,55,173,0.3033608,-0.007723847,0.02164009,0.2167338
7/29/16 3:00,211.125,03:00,211,3,0,174,0.3034955,-0.007590717,0.0216402,0.2164686
7/29/16 3:05,211.128,03:05,211,3,5,175,0.3038307,-0.007590773,0.02157378,0.2161373
7/29/16 3:10,211.132,03:10,211,3,10,176,0.3038328,-0.007657412,0.02150734,0.215939
7/29/16 3:15,211.135,03:15,211,3,15,177,0.3039641,-0.007723952,0.02130746,0.2154716
7/29/16 3:20,211.139,03:20,211,3,20,178,0.303966,-0.007990343,0.02097465,0.2153398
7/29/16 3:25,211.142,03:25,211,3,25,179,0.3041025,-0.00825678,0.02104147,0.2150758
7/29/16 3:30,211.146,03:30,211,3,30,180,0.3043022,-0.0086563,0.02097488,0.2146762
7/29/16 3:35,211.149,03:35,211,3,35,181,0.3044374,-0.008989294,0.02104161,0.2143447
7/29/16 3:40,211.153,03:40,211,3,40,182,0.3048373,-0.009122478,0.02104163,0.2141452
7/29/16 3:45,211.156,03:45,211,3,45,183,0.3051074,-0.00952212,0.02050918,0.2138149
7/29/16 3:50,211.160,03:50,211,3,50,184,0.305706,-0.009788452,0.01984325,0.2136146
7/29/16 3:55,211.163,03:55,211,3,55,185,0.3047062,-0.007857371,0.01891096,0.2140135
7/29/16 4:00,211.167,04:00,211,4,0,186,0.3046393,-0.006991723,0.01831165,0.2139467
7/29/16 4:05,211.170,04:05,211,4,5,187,0.3046406,-0.00699175,0.01797879,0.2134149
7/29/16 4:10,211.174,04:10,211,4,10,188,0.3045072,-0.00685857,0.01751266,0.2134147
7/29/16 4:15,211.177,04:15,211,4,15,189,0.3041056,-0.006858523,0.01697984,0.2134132
7/29/16 4:20,211.181,04:20,211,4,20,190,0.3039054,-0.007124864,0.01684664,0.2118149
7/29/16 4:25,211.184,04:25,211,4,25,191,0.3035728,-0.00659217,0.01644713,0.2096843
