Y,DOY,H,M,TIMESTAMP,RECORD,T1,T2,T3,T4,SBT1,SBT2,SBT3,SBT4
2015,131,14,40,5/11/15 14:40,69,0.3099365,0.3852112,0.3679901,0.4190399,0.2743164,0.2735352,0.3665131,0.2848724
2015,131,14,45,5/11/15 14:45,70,0.3885284,0.4889191,0.4405273,0.4909638,0.3133575,0.2818451,0.4132019,0.3112518
2015,131,14,50,5/11/15 14:50,71,0.3979096,0.5082184,0.4690674,0.5353149,0.3546326,0.3072815,0.4536682,0.3395905
2015,131,14,55,5/11/15 14:55,72,0.4668976,0.58927,0.5100769,0.5656494,0.3808594,0.3402344,0.4809601,0.3794037
2015,131,15,0,5/11/15 15:00,73,0.4529938,0.6077393,0.4770935,0.5282288,0.4087219,0.3880188,0.5233276,0.4478851
2015,131,15,5,5/11/15 15:05,74,0.467038,0.627005,0.4872284,0.541687,0.4137177,0.4118744,0.5262207,0.4660797
2015,131,15,10,5/11/15 15:10,75,0.4547547,0.6125031,0.485733,0.5326446,0.4407471,0.4321716,0.5503448,0.4888855
2015,131,15,15,5/11/15 15:15,76,0.4270935,0.5706665,0.4700378,0.5022308,0.4418152,0.4368042,0.5427094,0.4848114
2015,131,15,20,5/11/15 15:20,77,0.469101,0.571109,0.517279,0.5541229,0.4411377,0.4341492,0.5313568,0.475296
2015,131,15,25,5/11/15 15:25,78,0.4088135,0.5401672,0.449295,0.4827148,0.4383331,0.4272583,0.5260376,0.4653687
2015,131,15,30,5/11/15 15:30,79,0.4528015,0.5835479,0.4699616,0.5109497,0.4289764,0.4210632,0.521817,0.4632721
2015,131,15,35,5/11/15 15:35,80,0.4322662,0.5679016,0.4947205,0.540152,0.4232422,0.4224487,0.5176758,0.4597778
2015,131,15,40,5/11/15 15:40,81,0.4255219,0.5709442,0.5163269,0.5463196,0.4214355,0.4239441,0.5152038,0.4571747
2015,131,15,45,5/11/15 15:45,82,0.4470795,0.5920166,0.5163696,0.5605194,0.4151031,0.4248718,0.5120484,0.4633759
2015,131,15,50,5/11/15 15:50,83,0.4661865,0.6035522,0.5195343,0.5677856,0.4161468,0.4270996,0.5151978,0.4682373
2015,131,15,55,5/11/15 15:55,84,0.4471619,0.5942688,0.4773743,0.5276459,0.4217255,0.4317505,0.5188019,0.474353
2015,131,16,0,5/11/15 16:00,85,0.4784149,0.6162689,0.5363739,0.5817566,0.4250671,0.4374634,0.5231934,0.4829682
2015,131,16,5,5/11/15 16:05,86,0.4623108,0.5867127,0.5268707,0.563974,0.4335571,0.4466186,0.528125,0.4875
2015,131,16,10,5/11/15 16:10,87,0.4967651,0.6144867,0.5477722,0.6096191,0.4392639,0.4519196,0.5281555,0.4837067
2015,131,16,15,5/11/15 16:15,88,0.552771,0.6990479,0.5800506,0.6307739,0.4403015,0.4644287,0.534726,0.4976654
2015,131,16,20,5/11/15 16:20,89,0.500055,0.6363983,0.5740356,0.6092804,0.4474487,0.4706696,0.5375336,0.5024567
2015,131,16,25,5/11/15 16:25,90,0.5123016,0.6439697,0.5835236,0.6293152,0.4482025,0.4705048,0.5349854,0.4985901
2015,131,16,30,5/11/15 16:30,91,0.5406342,0.6754639,0.5822388,0.6299683,0.4388336,0.4764221,0.5289154,0.4984466
2015,131,16,35,5/11/15 16:35,92,0.5538543,0.663977,0.5827149,0.640213,0.4422058,0.4889069,0.5421875,0.5126404
2015,131,16,40,5/11/15 16:40,93,0.5668305,0.68927,0.6270782,0.6722137,0.4657868,0.5064117,0.5648316,0.5342377
2015,131,16,45,5/11/15 16:45,94,0.5342438,0.6647736,0.5644134,0.605539,0.4668152,0.5036103,0.5583466,0.5249756
2015,131,16,50,5/11/15 16:50,95,0.5026978,0.6378754,0.5496308,0.5986176,0.4598969,0.4930054,0.548407,0.5148956
2015,131,16,55,5/11/15 16:55,96,0.5153839,0.6384277,0.5680389,0.6211578,0.4586334,0.4865967,0.5459534,0.5119171
2015,131,17,0,5/11/15 17:00,97,0.4598785,0.5819061,0.5423371,0.5777038,0.4564819,0.4742828,0.5427368,0.5004028
2015,131,17,5,5/11/15 17:05,98,0.3921478,0.5018921,0.4657776,0.4952331,0.4454681,0.4478455,0.5264527,0.469873
2015,131,17,10,5/11/15 17:10,99,0.3482086,0.4528839,0.4239929,0.4812836,0.427066,0.4167816,0.4976257,0.428125
2015,131,17,15,5/11/15 17:15,100,0.4269318,0.5276947,0.5240967,0.575296,0.4081238,0.3978333,0.491742,0.4335724
2015,131,17,20,5/11/15 17:20,101,0.6049317,0.7146332,0.6458801,0.7043701,0.4187347,0.4236115,0.5227906,0.4796661
