"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
61000,1446000,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.04,0,0,292.1,0,0,43.18,0,0,0,15.24
69000,1446000,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.28,0,0,0,0,0,0,0
77000,1446000,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.38,0,0,63.5,0,0,0,0
85000,1446000,1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,0,462.28,0,0,0,10.16
93000,1446000,1797,0,0,0,0,0,0,0,0,0,0,76.2,0,0,0,0,0,0,0,0,0,0,22.86,134.62,0,541.02,0,0,0,20.32
101000,1446000,1798,0,0,0,0,40.64,0,0,104.14,0,0,0,167.64,0,0,0,0,0,0,0,0,0,411.48,480.06,0,612.14,0,0,0,0
109000,1446000,1799,0,17.78,0,0,0,0,0,58.42,0,0,0,0,0,0,0,0,0,0,0,0,101.6,175.26,198.12,0,662.94,0,0,0,0
117000,1446000,1800,0,27.94,0,0,0,0,0,55.88,0,0,104.14,10.16,0,0,0,0,0,0,0,0,0,553.72,208.28,0,520.7,0,0,0,20.32
-19000,1438000,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11000,1438000,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.96,0,0,0,0,0,0,0,0,0,0
-3000,1438000,2081,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,101.6,0,0,0,0,0,0,0,0,0,0
5000,1438000,2082,0,0,35.56,0,0,0,0,0,0,0,30.48,0,0,0,0,0,0,0,88.9,0,0,281.94,0,0,0,0,0,0,0
13000,1438000,2083,0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,0,0,0,25.4,0,0,406.4,0,0,0,0,0,0,0
21000,1438000,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.34,0,0,0,0,0,0,0
29000,1438000,2085,0,15.24,0,0,0,0,0,0,0,0,134.62,0,0,0,0,0,0,0,457.2,0,0,914.4,0,0,0,0,0,0,0
