"","x","y","tdiff"
"1823",373000,1142000,291963935.110281
"1824",381000,1142000,88312154.8410378
"1825",389000,1142000,808822066.783754
"1826",397000,1142000,-10378158.8091247
"1827",405000,1142000,-84094402.981887
"1828",413000,1142000,-554235531.181085
"1829",421000,1142000,22270209.6897798
"1830",429000,1142000,-520861035.419127
"1831",477000,1142000,-199710540.428109
"1832",485000,1142000,-224275224.810336
"1833",493000,1142000,-248038743.589765
"1834",501000,1142000,115612457.634171
"1835",509000,1142000,-250607408.155257
"1836",517000,1142000,78538830.3271207
"1837",525000,1142000,59076548.4857099
"1838",533000,1142000,1052679904.18565
"1839",541000,1142000,630802912.217072
"1840",549000,1142000,746131340.245794
"1841",557000,1142000,36394332.6809758
"1842",565000,1142000,237120974.243381
"1843",573000,1142000,1023882112.67717
"1844",581000,1142000,545901864.488509
"1845",589000,1142000,-199989903.967441
"1846",597000,1142000,33310584.4020373
"1847",605000,1142000,355923487.111181
"1848",613000,1142000,-105075859.911827
"1849",621000,1142000,183971595.448972
"1850",629000,1142000,93151810.5116788
"1851",637000,1142000,128930206.387151
"1852",645000,1142000,-194399176.020989
"1853",653000,1142000,275408417.586107
"1854",661000,1142000,-205044436.32846
"1855",669000,1142000,-41251557.3570637
"1879",45000,1134000,147859655.308863
"1880",61000,1134000,17766357.184499
"1881",69000,1134000,-11220269.161652
"1882",85000,1134000,429373910.399031
"1883",109000,1134000,594200886.787857
"1884",117000,1134000,450718916.847116
"1885",125000,1134000,312179690.126284
"1886",133000,1134000,962597294.032112
"1887",141000,1134000,220984430.279372
"1888",149000,1134000,497218230.570766
"1889",157000,1134000,187113002.807725
"1890",165000,1134000,80195157.8194495
"1891",173000,1134000,827033520.79557
"1892",181000,1134000,593763735.231205
"1893",189000,1134000,235504049.052161
"1894",213000,1134000,153297442.816697
"1895",221000,1134000,-224890550.089938
"1896",229000,1134000,684995290.104099
"1897",237000,1134000,945215297.663445
"1898",245000,1134000,-73955467.8803852
"1899",253000,1134000,-179569749.325389
"1900",261000,1134000,-145990031.050513
"1901",269000,1134000,595662700.057228
"1902",277000,1134000,1237258184.25651
"1903",285000,1134000,438198408.6434
"1904",293000,1134000,649186905.170799
"1905",301000,1134000,88932916.1179111
"1906",309000,1134000,836451323.116704
"1907",317000,1134000,950125082.199375
"1908",325000,1134000,1785783.98996353
"1909",333000,1134000,-301567301.065324
"1910",341000,1134000,-238963539.268451
"1911",349000,1134000,295619976.49851
"1912",357000,1134000,-9200474.13782185
"1913",365000,1134000,39639243.6680491
"1914",373000,1134000,43639394.830466
"1915",381000,1134000,211692302.090765
"1916",389000,1134000,979120405.236665
"1917",397000,1134000,500327952.876637
"1918",405000,1134000,-69657574.5934544
"1919",413000,1134000,-163282070.097015
"1920",445000,1134000,165415880.125617
"1921",453000,1134000,111207000.853134
"1922",461000,1134000,-193589141.293063
"1923",469000,1134000,67085521.3627676
"1924",477000,1134000,280178954.542603
"1925",485000,1134000,-167070321.282181
"1926",493000,1134000,-235525370.938134
"1927",501000,1134000,-122154479.763914
"1928",509000,1134000,-5840299.01783228
"1929",517000,1134000,439223061.75577
"1930",525000,1134000,438786133.473879
"1931",533000,1134000,428887566.190585
"1932",541000,1134000,-339350629.063434
"1933",549000,1134000,-226836747.529642
"1934",557000,1134000,795324857.16928
"1935",565000,1134000,819861837.964622
"1936",573000,1134000,195752862.489398
"1937",581000,1134000,216424928.183683
"1938",589000,1134000,339270819.430502
"1939",597000,1134000,-111258842.871443
"1940",605000,1134000,-205088652.124704
"1941",613000,1134000,130352235.04976
"1942",621000,1134000,138465722.36309
"1943",629000,1134000,35524637.1032232
"1944",637000,1134000,342935574.870468
"1945",645000,1134000,4741904.18894356
"1946",653000,1134000,5143985.4307611
"1947",661000,1134000,33854584.9429305
"1948",669000,1134000,-84043774.0244803
"1949",845000,1134000,-145187377.079167
"1950",861000,1134000,-58377858.408012
"1976",29000,1126000,25226207.5568462
"1977",45000,1126000,3135115325.09387
"1978",53000,1126000,189692722.511487
"1979",69000,1126000,377934361.196458
"1980",77000,1126000,839220040.62472
"1981",85000,1126000,-242307779.716081
"1982",93000,1126000,47915343.8136792
"1983",101000,1126000,-151376141.226915
"1984",117000,1126000,280098290.420822
"1985",133000,1126000,870927418.769397
"1986",141000,1126000,221569900.520377
"1987",149000,1126000,568971783.216498
"1988",165000,1126000,-38551564.5508807
"1989",173000,1126000,558949132.041312
"1990",181000,1126000,912388506.835908
"1991",189000,1126000,133121099.580037
"1992",213000,1126000,-130652256.166874
"1993",221000,1126000,-339586959.815663
"1994",229000,1126000,-226295543.859068
"1995",237000,1126000,157664103.985282
"1996",245000,1126000,-20470125.2658324
"1997",253000,1126000,614678704.899857
"1998",261000,1126000,116439379.261784
"1999",269000,1126000,591964036.238116
"2000",277000,1126000,101832861.527467
"2001",285000,1126000,1074173519.80083
"2002",293000,1126000,432966380.742588
"2003",301000,1126000,487072497.892352
"2004",317000,1126000,231345878.858935
"2005",325000,1126000,-383544820.0501
"2006",333000,1126000,369228110.821015
"2007",341000,1126000,305452905.905944
"2008",349000,1126000,256715037.444643
"2009",357000,1126000,764423071.250978
"2010",365000,1126000,325003788.160365
"2011",373000,1126000,333637062.710482
"2012",381000,1126000,923856502.370897
"2013",389000,1126000,-28548222.6981795
"2014",397000,1126000,-206838636.679665
"2015",405000,1126000,-313560560.763587
"2016",413000,1126000,-190974360.999363
"2017",421000,1126000,-95824208.9421458
