"","x","y","Transpiration"
"89",85000,1398000,95.175023809253
"90",93000,1398000,71.6638499968366
"91",101000,1398000,59.5070725177017
"92",109000,1398000,38.9741737093926
"93",117000,1398000,65.7900481209756
"94",125000,1398000,79.9194843460754
"95",133000,1398000,78.2354632225653
"96",141000,1398000,90.2832308106624
"97",149000,1398000,64.0183056679712
"98",157000,1398000,91.5036741376222
"99",165000,1398000,156.096963385529
"100",173000,1398000,64.9135839920662
"101",181000,1398000,52.3455329926197
"102",189000,1398000,43.7906330748552
"103",197000,1398000,121.699805212866
"104",205000,1398000,115.088778041614
"105",213000,1398000,804.24488881411
"106",37000,1390000,21.2916973638233
"107",45000,1390000,49.0302824523463
"108",53000,1390000,28.4656070432872
"109",69000,1390000,7.51075018314174
"110",77000,1390000,24.3153166478695
"111",85000,1390000,67.6922149027003
"112",93000,1390000,48.1514670794244
"113",101000,1390000,36.1243324039642
"114",109000,1390000,76.3670730952454
"115",117000,1390000,59.5205320728233
"116",125000,1390000,40.7651596195791
"117",133000,1390000,53.3631188331229
"118",141000,1390000,77.0415748754661
"119",149000,1390000,45.8282470252596
"120",157000,1390000,55.3483188310669
"121",165000,1390000,83.0633903883898
"122",189000,1390000,46.2233434607646
"123",197000,1390000,139.604871322428
"124",205000,1390000,158.264638876075
"125",213000,1390000,83.2769777434818
"126",13000,1382000,0
"127",29000,1382000,3.09954014456015
"128",69000,1382000,13.8491100466827
"129",77000,1382000,13.4837853438373
"130",93000,1382000,11.7351902165238
"131",101000,1382000,23.3306247514571
"132",109000,1382000,33.1857775718942
"133",117000,1382000,55.859882743064
"134",133000,1382000,42.4158009741381
"135",141000,1382000,51.4779890628378
"136",149000,1382000,27.4978731825544
"137",157000,1382000,144.043440034661
"138",165000,1382000,107.915993004656
"139",173000,1382000,147.219356940659
"140",181000,1382000,189.718985587641
"141",189000,1382000,69.807265027275
"142",197000,1382000,78.5148295500171
"143",221000,1382000,139.269501741632
"144",229000,1382000,382.675875733791
"145",245000,1382000,534.154520120459
"146",253000,1382000,412.224072593586
"147",277000,1382000,116.597965280563
"148",285000,1382000,132.252679666018
"149",-19000,1374000,1.01480896573219
"150",5000,1374000,0.546470843678274
"151",21000,1374000,0
"152",29000,1374000,7.99787990854226
"153",37000,1374000,30.9231413959211
"154",53000,1374000,26.1968956889831
"155",69000,1374000,10.1015448818754
"156",85000,1374000,51.3708032778749
"157",101000,1374000,16.2212658751508
"158",109000,1374000,6.81201519864643
"159",117000,1374000,95.9868972076933
"160",125000,1374000,47.4686028338196
"161",133000,1374000,39.64586011741
"162",141000,1374000,21.2015723300773
"163",149000,1374000,23.8667210177673
"164",173000,1374000,51.9457945290914
"165",181000,1374000,121.427924624992
"166",189000,1374000,52.7325829015223
"167",197000,1374000,261.390059530104
