"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
133000,1438000,2098,0,30.4992711821523,0,0,7.21343743412295,0,0,13.0956017877709,0,0,36.095062179948,25.3981915613659,0,0,0,0,0.987639035307765,0,6.71367921824436,0,0,108.74328724888,6.79536211457407,0,0.751065264880778,0,0,0,1.95699361456735
141000,1438000,2099,0,0.976491349915046,0,0,9.23586313797469,0,0,31.2553395330378,0,0,0.860289730622176,0,0,0,0,0,0,0,0,0,0,195.074364941351,23.0373861098522,0,38.5464909388815,0,0,0,9.36615113688624
149000,1438000,2100,0,0,0,0,116.555869358256,0,0,39.6469794299762,0,0,0,0,0,0,0,0,0,0,0,0,0,290.017258731178,19.1814387004436,0,9.07643222601488,0,0,0,0
-19000,1430000,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.340145893058,0,0,0,0,0,0,0,0,0,0
-11000,1430000,2376,0,0,0.0555905663755129,0,0,0,0,0,0,0,0.0555905663755129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1430000,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1430000,2378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,1430000,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85903661433313,0,0,0,0,0,0,0
21000,1430000,2380,0,0,0,0,0,0,0,0,0,0,2.49119652562215,0,0,0,0,0,0,0,0.370186244889865,0,0,3.32213662585375,0,0,0,0,0,0,0.556170841095506
29000,1430000,2381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443284939722783,0,0,31.2518861550801,0,0,0,0,0,0,0
37000,1430000,2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05294124312647,0,0,5.66295326276258,0,0,0,0,0,0,0
45000,1430000,2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642285316244796,0,0,1.36388491331442,0,0,0,0,0,0,0
53000,1430000,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572441242728939,0,0,1.27998341198274,0,0,0,0,0,0,0
61000,1430000,2385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162041048531257,0,0,2.59636720826301,0,0,0.141943662688457,0,0,0,0
69000,1430000,2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468621483986609,0,0,2.29416616243602,0,0,0,0,0,0,0
77000,1430000,2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228803824719393,0,0,2.54169899338427,0.0399739462916491,0,0.725216438023102,0,0,0,0
85000,1430000,2388,0,0.840529118041164,0,0,1.02692913303124,0,0,0,0,0,3.55649774728457,0,0,0,0,0,2.25723771982568,0,0.962219483593108,0,0,8.47463587599941,1.02692913303124,0,31.5910034481446,0,0,0,0
93000,1430000,2389,0,0.00613377543920501,0,0,0.268089641034858,0,0,0,0,0,1.89336419119779,0,0,0,0,0,0,0,0,0,0.166112263810611,36.1765319888778,9.39119668797411,0,49.8896115906319,0,0,0,0
101000,1430000,2390,0,10.991582099004,0,0,2.72708325101539,0,0,8.34561973769998,0,0,7.05085928572831,11.0774751051158,0,0,0,0,0,0,0.358415543571578,0,0,41.153900429781,47.2151999176618,0,91.6880118953647,0,0,0,0
109000,1430000,2391,0,16.698303025317,0,0,0.482669598835642,0,0,6.05632544463749,0,0,0.26119181550821,0.0285079192562154,0,0,0,0,0,0,12.7479812876847,0,0,40.129723559227,4.8885245896988,0,114.029662274882,0,0,0,0
117000,1430000,2392,0,7.2771977624314,0,0,3.34529092719425,0,0,0.33695107747751,0,0,1.97551762766412,0,0,0,0,0,0,0,0,0,0,40.2904538670156,2.9634956573654,0,18.0271813707877,0,0,0,0
