"","x","y","Transpiration"
"138",165000,1382000,448.16978900483
"139",173000,1382000,2.29519637451814
"140",181000,1382000,689.587685860776
"141",189000,1382000,10.890705775767
"142",197000,1382000,414.540714157961
"143",221000,1382000,120.62004831274
"144",229000,1382000,30.1007269211593
"145",245000,1382000,262.152146927496
"146",253000,1382000,54.0108610713436
"147",277000,1382000,37.7654973922075
"148",285000,1382000,161.27807652286
"149",-19000,1374000,66.8244201922975
"150",5000,1374000,175.701878995228
"151",21000,1374000,28.4411915903673
"152",29000,1374000,29.7347618549476
"153",37000,1374000,294.699985171035
"154",53000,1374000,127.945592992421
"155",69000,1374000,54.7404180609893
"156",85000,1374000,169.527294006481
"157",101000,1374000,109.940446687249
"158",109000,1374000,19.7426874230332
"159",117000,1374000,363.795722710689
"160",125000,1374000,36.1329457231203
"161",133000,1374000,36.4827264895401
"162",141000,1374000,710.906314974139
"163",149000,1374000,54.3971083427376
"164",173000,1374000,6.71831833392191
"165",181000,1374000,100.910956830113
"166",189000,1374000,33.0240692583586
"167",197000,1374000,361.253819712619
"168",205000,1374000,244.103311568252
"169",213000,1374000,86.0763251826928
"170",221000,1374000,53.072953594708
"171",237000,1374000,199.156701651424
"172",245000,1374000,25.3594233457794
"173",253000,1374000,83.1429269729635
"174",261000,1374000,249.758472909506
"175",269000,1374000,221.540609925957
"176",277000,1374000,655.109855357786
"177",285000,1374000,169.298929308405
"178",301000,1374000,249.706566347362
"179",29000,1366000,104.02176361713
"180",85000,1366000,143.26862234423
"181",101000,1366000,32.4018974951445
"182",109000,1366000,100.778659409181
"183",117000,1366000,78.8024391656225
"184",125000,1366000,26.9829062009908
"185",165000,1366000,7.16043187369962
"186",181000,1366000,6.28392855122587
"187",189000,1366000,8.88351733399044
"188",197000,1366000,59.8456413043378
"189",205000,1366000,258.972808318273
"190",213000,1366000,100.023351096017
"191",221000,1366000,231.076811570099
"192",229000,1366000,31.0550244317313
"193",237000,1366000,199.700070771117
"194",245000,1366000,4.49870069561315
"195",253000,1366000,182.754651321683
"196",261000,1366000,536.568441952006
"197",269000,1366000,132.304703852697
"198",277000,1366000,79.0057988769865
"199",285000,1366000,126.959806668964
"200",293000,1366000,775.903743083852
"201",301000,1366000,257.346926899766
"202",309000,1366000,231.826818693503
"203",29000,1358000,66.7214419615245
"204",37000,1358000,178.865114606503
"205",93000,1358000,72.1425809377518
"206",101000,1358000,356.913271961997
"207",109000,1358000,17.5071972172029
"208",117000,1358000,164.238942978133
"209",125000,1358000,48.900568898659
"210",133000,1358000,58.8649270731692
"211",165000,1358000,222.262388866586
"212",181000,1358000,62.6436978155727
"213",189000,1358000,252.124155644368
"214",197000,1358000,53.7241359583984
"215",205000,1358000,50.4912544293139
"216",213000,1358000,73.7458161500638
"217",221000,1358000,296.795426534928
"218",229000,1358000,368.484470122962
"219",237000,1358000,127.108999839545
"220",245000,1358000,13.9672985444411
"221",253000,1358000,458.683017126695
"222",261000,1358000,107.254973901045
"223",269000,1358000,398.50641369138
"224",277000,1358000,234.51610338316
"225",285000,1358000,275.04647742364
"226",293000,1358000,330.957228373351
"227",301000,1358000,588.810033830133
"228",309000,1358000,47.8656811962138
"229",317000,1358000,92.8212233987944
"230",-19000,1350000,142.089004979235
"231",21000,1350000,206.067890810625
"232",29000,1350000,517.505536227733
"233",53000,1350000,1016.23959135126
"234",69000,1350000,178.408571129686
"235",93000,1350000,575.994547720017
"236",101000,1350000,107.944043694042
"237",109000,1350000,34.3609563991964
"238",117000,1350000,122.548686136361
"239",125000,1350000,96.6422685531352
"240",133000,1350000,59.975606815507
"241",165000,1350000,176.110000264455
"242",189000,1350000,98.5387785091966
"243",197000,1350000,105.66501305636
"244",205000,1350000,50.0414570426106
"245",213000,1350000,119.061933352702
"246",221000,1350000,274.390686131077
"247",229000,1350000,157.808477236665
"248",237000,1350000,111.960291855575
"249",245000,1350000,195.505832858097
"250",253000,1350000,61.0880151892409
"251",261000,1350000,21.0683308125952
"252",269000,1350000,122.838464517697
"253",277000,1350000,118.385259577185
"254",285000,1350000,193.216303056953
"255",293000,1350000,143.235602818234
"256",301000,1350000,447.616754704359
"257",309000,1350000,273.501587760105
"258",317000,1350000,405.196358042108
"259",333000,1350000,388.679621278494
"260",21000,1342000,145.164315242353
"261",29000,1342000,335.164956504746
"262",77000,1342000,88.0265489178416
"263",101000,1342000,446.699738531072
"264",109000,1342000,744.853799954319
"265",117000,1342000,27.7072876483755
"266",133000,1342000,365.509786327728
"267",141000,1342000,964.031274635895
"268",157000,1342000,124.945909370297
"269",165000,1342000,199.285122288324
"270",173000,1342000,64.0355649166278
"271",181000,1342000,296.71357739588
"272",197000,1342000,6.44590469800674
"273",213000,1342000,170.555431644028
"274",221000,1342000,471.290444597845
"275",229000,1342000,342.563190216232
"276",237000,1342000,257.97734697943
"277",245000,1342000,255.872470903178
"278",253000,1342000,82.2746187086514
"279",261000,1342000,181.220926300288
"280",269000,1342000,193.244900516715
"281",277000,1342000,26.5510687379063
"282",285000,1342000,40.1064040171885
"283",293000,1342000,429.852366688274
"284",301000,1342000,306.461514208076
"285",309000,1342000,305.898995768522
"286",317000,1342000,76.6666931536437
"287",349000,1342000,398.935824199354
"288",21000,1334000,234.552715761251
"289",37000,1334000,127.616972525627
