x,y,cell,Alder,Ash,Basswood,Beech,Birch,Black gum,Buckeye,Cedar/juniper,Cherry,Dogwood,Elm,Fir,Hackberry,Hemlock,Hickory,Ironwood,Maple,No tree,Oak,Other hardwood,Pine,Poplar,Spruce,Sycamore,Tamarack,Tulip poplar,Unknown tree,Walnut,Willow,NA
117000,1414000,2984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32,0,172.72,0,0,0,0,0
125000,1414000,2985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.96,43.18,0,0,99.06,0,0,0,0,0
133000,1414000,2986,0,0,0,0,0,0,0,86.36,0,0,0,0,0,0,0,0,0,0,0,0,355.6,20.32,0,0,40.64,0,0,0,0,0
141000,1414000,2987,0,20.32,0,0,30.48,0,0,218.44,0,0,0,0,0,0,0,0,0,0,0,0,533.4,0,40.64,0,121.92,0,0,0,0,0
149000,1414000,2988,0,182.88,0,0,147.32,0,0,312.42,0,0,0,0,0,0,0,0,0,0,0,0,502.92,40.64,187.96,0,243.84,0,0,0,0,0
157000,1414000,2989,0,63.5,0,0,45.72,0,0,269.24,0,0,0,20.32,0,0,0,25.4,0,0,0,0,0,157.48,220.98,0,281.94,0,0,0,0,0
165000,1414000,2990,0,0,48.26,0,55.88,0,0,0,0,0,0,40.64,0,0,0,0,0,0,0,0,0,185.42,76.2,0,106.68,0,0,0,0,0
-27000,1406000,3262,0,30.48,0,0,0,0,0,0,0,0,60.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19000,1406000,3263,0,76.2,0,0,0,0,0,0,0,0,88.9,0,0,0,0,0,0,0,261.62,0,0,0,0,0,0,0,0,0,0,0
-3000,1406000,3265,0,25.4,0,0,0,0,0,0,0,0,111.76,0,0,0,0,0,0,0,119.38,0,0,0,0,0,0,0,0,0,0,0
21000,1406000,3268,0,0,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.06,0,0,281.94,0,0,71.12,0,0,0,0,0
29000,1406000,3269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.3,0,0,20.32,0,0,0,0,0
37000,1406000,3270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.16,0,0,0,0,0,0,0,0
45000,1406000,3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990.6,81.28,0,167.64,0,0,0,0,0
53000,1406000,3272,0,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.72,0,0,160.02,50.8,0,767.08,0,0,0,0,0
61000,1406000,3273,0,0,0,0,0,0,0,20.32,0,0,0,40.64,0,0,0,0,0,0,71.12,0,0,193.04,0,0,248.92,0,0,0,0,0
69000,1406000,3274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.06,20.32,0,574.04,0,0,0,0,0
77000,1406000,3275,0,0,0,0,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.7,0,0,269.24,0,0,0,0,0
85000,1406000,3276,0,0,0,0,20.32,0,0,25.4,0,0,20.32,0,0,0,0,0,0,0,25.4,0,0,287.02,43.18,0,419.1,0,0,0,0,0
93000,1406000,3277,0,0,0,0,0,0,0,63.5,0,0,0,0,0,0,0,0,0,0,0,0,200.66,304.8,50.8,0,447.04,0,0,0,0,0
101000,1406000,3278,0,0,0,0,0,0,0,0,0,0,25.4,76.2,0,0,0,0,0,0,0,0,215.9,86.36,68.58,0,152.4,0,0,0,0,0
109000,1406000,3279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.58,106.68,40.64,0,81.28,0,0,0,0,0
117000,1406000,3280,0,0,0,0,0,0,0,50.8,0,0,0,60.96,0,0,0,0,0,0,0,0,119.38,60.96,30.48,0,218.44,0,0,0,0,0
125000,1406000,3281,0,0,0,0,20.32,0,0,43.18,0,0,0,0,0,0,0,0,0,0,0,0,436.88,20.32,20.32,0,317.5,0,0,0,0,0
133000,1406000,3282,0,0,0,0,0,0,0,220.98,0,0,0,0,0,0,0,0,0,0,0,0,325.12,0,111.76,0,520.7,0,0,0,0,0
141000,1406000,3283,0,0,0,0,0,0,0,139.7,0,0,0,0,0,0,0,0,0,0,0,0,45.72,20.32,86.36,0,566.42,0,0,0,0,0
149000,1406000,3284,0,30.48,0,0,81.28,0,0,228.6,0,0,0,30.48,0,0,0,0,0,0,0,0,121.92,124.46,66.04,0,736.6,0,0,0,0,0
157000,1406000,3285,0,0,0,0,208.28,0,0,259.08,0,0,53.34,172.72,0,0,0,0,0,0,0,0,175.26,40.64,215.9,0,360.68,0,0,0,0,0
165000,1406000,3286,0,25.4,0,0,78.74,0,0,99.06,0,0,198.12,121.92,0,0,0,0,0,0,0,0,30.48,543.56,241.3,0,591.82,0,0,0,0,0
173000,1406000,3287,0,0,0,0,55.88,0,0,20.32,0,0,0,129.54,0,0,0,0,0,0,0,0,0,55.88,309.88,0,378.46,0,0,0,0,0
181000,1406000,3288,0,20.32,0,0,86.36,0,0,129.54,0,0,0,0,0,0,0,0,0,0,0,0,45.72,612.14,50.8,0,66.04,0,0,0,0,0
189000,1406000,3289,0,0,0,0,45.72,0,0,68.58,0,0,25.4,22.86,0,0,0,0,0,0,0,0,20.32,104.14,22.86,0,170.18,0,0,0,0,0
-27000,1398000,3558,0,45.72,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,60.96,0,0,0,0,0,0,0,0,0,0,0
-19000,1398000,3559,0,0,0,0,0,0,0,0,0,0,132.08,0,0,0,0,0,0,0,474.98,0,0,60.96,0,0,0,0,0,0,0,0
-11000,1398000,3560,0,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1398000,3561,0,0,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1398000,3562,0,20.32,0,0,0,0,0,0,0,0,111.76,0,0,0,0,0,0,0,45.72,0,0,0,0,0,0,0,0,0,0,0
13000,1398000,3563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.88,0,0,0,0,0,0,0,0
21000,1398000,3564,0,0,0,0,0,0,0,0,0,0,83.82,0,0,0,0,0,0,0,20.32,0,0,419.1,0,0,96.52,0,0,0,0,0
29000,1398000,3565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.9,0,0,774.7,0,0,0,0,0,0,0,0
37000,1398000,3566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.68,0,0,985.52,45.72,0,187.96,0,0,0,0,0
45000,1398000,3567,0,30.48,0,0,25.4,0,0,0,0,0,33.02,0,0,0,0,0,0,0,73.66,0,0,678.18,401.32,0,622.3,0,0,0,0,0
53000,1398000,3568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.84,0,0,398.78,60.96,0,477.52,0,0,0,0,0
61000,1398000,3569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.64,40.64,152.4,0,535.94,0,0,0,0,0
69000,1398000,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.22,0,0,0,0,0
77000,1398000,3571,0,25.4,0,0,30.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.68,0,0,223.52,0,0,0,0,0
85000,1398000,3572,0,0,0,0,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.04,0,0,276.86,0,0,0,0,0
93000,1398000,3573,0,0,0,0,40.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.6,40.64,0,137.16,0,0,0,0,0
101000,1398000,3574,0,0,0,0,48.26,0,0,76.2,0,0,0,0,0,0,0,0,0,0,0,0,0,68.58,20.32,0,88.9,0,0,0,0,0
109000,1398000,3575,0,0,0,0,0,0,0,91.44,0,0,0,0,0,0,0,0,0,0,0,0,45.72,0,0,0,154.94,0,0,0,0,0
117000,1398000,3576,0,0,0,0,60.96,0,0,111.76,0,0,0,0,0,0,0,0,0,0,0,0,60.96,40.64,0,0,571.5,0,0,0,0,0
125000,1398000,3577,0,0,0,0,0,0,0,30.48,0,0,0,0,0,0,0,0,0,0,0,0,167.64,0,76.2,0,368.3,0,0,0,0,0
